BCC_Name,B2_Name,Misfit,a_BCC,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,B2_Name.1,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si,BCC_formation_energy_per_atom_from_BCC,BCC_formation_energy_eV_per_atom_calc,DeltaE_B2_minus_BCC_eV_per_atom,lattice_misfit_delta,S_conf_eV_per_K,Ts_star_K_simple,S_conf_eV_per_K_fixed,lattice_misfit_delta_fixed,DeltaE_B2_minus_BCC_eV_per_atom_fixed,Ts_star_K_simple_fixed,DeltaS_Exact_eV_K,DeltaH_eV,Term_Thermo_Ratio,T_Base_K,Misfit_Abs,Ts_Target_K,Ts_Target_C,Misfit_Sq,Misfit_Cub,Strain_Energy_Term,Predicted_Solvus_K,Predicted_Solvus_C
Nb25-V75,B2_TERN_SOL_089_Ru_Ti75_Nb25,0.008395461,3.07696301,3.102904429,-0.903188944,6.125,0.045498955,1.8772,0.32330815,-9.1648,0.0,0.0,0.75,0.25,B2_TERN_SOL_089_Ru_Ti75_Nb25,0.5,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.056214818,0.056214818,,0.0083954613124186,0.000118731610001,,8.39599492769963e-05,0.0083954613124186,-0.959403762,-11426.921648496773,4.8458293461967755e-05,0.959403762,19798.54620247787,2220.0276884692603,0.0083954613124186,2052.1184622208884,1778.9684622208883,7.048377064831743e-05,5.917437696313347e-07,1.4545244087812597,2052.118521036053,1778.968521036053
Nb25-V75,B2_PENALTY_127_Ru75Al25_Ti,0.007360712,3.07696301,3.09969531,-0.88819063,5.375,0.04282596,1.7992,0.314533559,-11.248,0.0,0.0,0.75,0.25,B2_PENALTY_127_Ru75Al25_Ti,0.375,0.0,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056214818,0.056214818,,0.0073607115117223,0.0001237990149717,,8.39599492769963e-05,0.0073607115117223,-0.944405448,-11248.28511847079,4.8458293461967755e-05,0.9444054479999999,19489.036458562285,2185.3220997701446,0.0073607115117223,2038.1078695356987,1764.9578695356986,5.418007395880119e-05,3.9880389409451346e-07,1.1180763928743,2038.1079346594408,1764.957934659441
Ta25-V75,B2_TERN_SOL_089_Ru_Ti75_Nb25,0.009401224,3.07386981,3.102904429,-0.903188944,6.125,0.045498955,1.8772,0.32330815,-9.1648,0.0,0.25,0.75,0.0,B2_TERN_SOL_089_Ru_Ti75_Nb25,0.5,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.054791781,0.054791781,,0.0094012239646629,0.0001186862338993,,8.39599492769963e-05,0.0094012239646629,-0.957980725,-11409.972650644177,4.8458293461967755e-05,0.9579807250000001,19769.179980551035,2216.7348292301735,0.0094012239646629,2028.7103499369155,1755.5603499369154,8.838301203375202e-05,8.30908490800799e-07,1.8238985676026536,2028.7104005191213,1755.5604005191212
Nb75-Mo25,B2_PENALTY_110_Ru75Al25_Hf,-0.003193334,3.27521311,3.264770933,-0.95574225,5.375,0.076510467,1.6792,0.418974176,-15.048,0.25,0.0,0.0,0.75,B2_PENALTY_110_Ru75Al25_Hf,0.375,0.5,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051633618,-0.051633618,,-0.0031933340911364,0.0001241617688441,,8.39599492769963e-05,-0.0031933340911364,-0.904108632,-10768.332279682683,4.8458293461967755e-05,0.904108632,18657.45917589081,2092.076637514858,0.0031933340911364,2028.2099556921298,1755.0599556921297,1.0197382617613937e-05,3.256364955318833e-08,0.21043627187608868,2028.2100488635353,1755.0600488635355
Ta25-V75,B2_PENALTY_127_Ru75Al25_Ti,0.008366479,3.07386981,3.09969531,-0.88819063,5.375,0.04282596,1.7992,0.314533559,-11.248,0.0,0.25,0.75,0.0,B2_PENALTY_127_Ru75Al25_Ti,0.375,0.0,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054791781,0.054791781,,0.0083664785251345,0.0001237514913655,,8.39599492769963e-05,0.0083664785251345,-0.942982411,-11231.336120618194,4.8458293461967755e-05,0.942982411,19459.670236635448,2182.0292405310583,0.0083664785251345,2014.6996700283682,1741.5496700283684,6.999796291153676e-05,5.856364535025336e-07,1.4444991333934263,2014.6997269191156,1741.5497269191155
Nb75-V25,B2_PENALTY_114_Ru75Cr25_Hf,-0.007027437,3.24817106,3.225424668,-0.878162691,5.75,0.088438935,1.6852,0.418297693,-10.488,0.0,0.0,0.25,0.75,B2_PENALTY_114_Ru75Cr25_Hf,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.046009832,0.046009832,,-0.0070274366691191,0.0001234288393739,,8.39599492769963e-05,-0.0070274366691191,-0.924172523,-11007.302064357114,4.8458293461967755e-05,0.924172523,19071.503698852543,2138.5037991778213,0.0070274366691191,1997.9550657954392,1724.805065795439,4.938486613847975e-05,3.4704901920109077e-07,1.019121033992648,1997.9551309286044,1724.8051309286043
Nb75-V25,B2_TERN_SOL_099_Ru_Zr75_Nb25,0.000156377,3.24817106,3.24867904,-0.818094975,6.125,0.083152864,1.7974,0.410773952,-15.4272,0.0,0.0,0.25,0.75,B2_TERN_SOL_099_Ru_Zr75_Nb25,0.5,0.0,0.0,0.375,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.046009832,0.046009832,,0.0001563773189101,0.0001207406024397,,8.39599492769963e-05,0.0001563773189101,-0.8641048069999999,-10291.86909283604,4.8458293461967755e-05,0.8641048069999999,17831.92814410991,1999.5091464727718,0.0001563773189101,1996.3816000945699,1723.2316000945698,2.4453865869511122e-08,3.824029981661351e-12,0.0005046373721085249,1996.381712308746,1723.231712308746
Ta25-V75,B2_PENALTY_135_Ru75Cu25_Ti,0.000261917,3.07386981,3.074675013,-0.801717189,6.375,0.053254377,1.834,0.30764265,-9.7888,0.0,0.25,0.75,0.0,B2_PENALTY_135_Ru75Cu25_Ti,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.054791781,0.054791781,,0.0002619166073206,0.0001168049637363,,8.39599492769963e-05,0.0002619166073206,-0.85650897,-10201.399326412766,4.8458293461967755e-05,0.85650897,17675.178154431433,1981.932637890039,0.0002619166073206,1976.694305743627,1703.5443057436269,6.860030919033339e-08,1.7967560244276297e-11,0.0014156567284849598,1976.694416116083,1703.544416116083
Nb25-V75,B2_PENALTY_135_Ru75Cu25_Ti,-0.000743866,3.07696301,3.074675013,-0.801717189,6.375,0.053254377,1.834,0.30764265,-9.7888,0.0,0.0,0.75,0.25,B2_PENALTY_135_Ru75Cu25_Ti,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.056214818,0.056214818,,-0.0007438659399157,0.0001168499605283,,8.39599492769963e-05,-0.0007438659399157,-0.857932007,-10218.348324265364,4.8458293461967755e-05,0.857932007,17704.544376358273,1985.2254971291259,0.0007438659399157,1970.3481783308118,1697.198178330812,5.533365365666677e-07,4.116082028628624e-10,0.011418820124174433,1970.3482850345317,1697.1982850345316
Nb25-Ta75,B2_PENALTY_122_Ru75Si25_Hf,-0.019305125,3.31173466,3.248412429,-1.009713639,5.5,0.103842692,1.714,0.423797121,-9.9408,0.0,0.75,0.0,0.25,B2_PENALTY_122_Ru75Si25_Hf,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.008017394,0.008017394,,-0.019305125370185,0.0001244203521609,,8.39599492769963e-05,-0.019305125370185,-1.017731033,-12121.625152992348,4.8458293461967755e-05,1.017731033,21002.20540780622,2354.9950106141264,0.019305125370185,1968.8925032104264,1695.7425032104265,0.00037268786555856055,7.1947859685546635e-06,7.690899512403645,1968.892482407205,1695.742482407205
Ta75-V25,B2_TERN_SOL_087_Ru_Hf75_V25,-0.017869185,3.23816412,3.180813173,-0.946727169,6.125,0.081395156,1.7896,0.422326698,-11.88,0.0,0.75,0.25,0.0,B2_TERN_SOL_087_Ru_Hf75_V25,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.057672619,0.057672619,,-0.017869185193268,0.0001212157525529,,8.39599492769963e-05,-0.017869185193268,-1.004399788,-11962.844149492474,4.8458293461967755e-05,1.004399788,20727.097803976485,2324.146962905754,0.017869185193268,1966.7632590403941,1693.613259040394,0.00031930777947130836,5.705769845023988e-06,6.589331911201443,1966.7632479741749,1693.613247974175
Nb25-Mo75,B2_TERN_SOL_087_Ru_Hf75_V25,-0.003219976,3.19107183,3.180813173,-0.946727169,6.125,0.081395156,1.7896,0.422326698,-11.88,0.75,0.0,0.0,0.25,B2_TERN_SOL_087_Ru_Hf75_V25,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,-0.070457653,-0.070457653,,-0.0032199755630146,0.0001191505597595,,8.39599492769963e-05,-0.0032199755630146,-0.876269516,-10436.756138442355,4.8458293461967755e-05,0.876269516,18082.962758227044,2027.657869535806,0.0032199755630146,1963.258358275514,1690.108358275514,1.0368242626411192e-05,3.3385487888450354e-08,0.213962190693914,1963.2584475782467,1690.1084475782468
Ta75-V25,B2_TERN_SOL_099_Ru_Zr75_Nb25,0.003241922,3.23816412,3.24867904,-0.818094975,6.125,0.083152864,1.7974,0.410773952,-15.4272,0.0,0.75,0.25,0.0,B2_TERN_SOL_099_Ru_Zr75_Nb25,0.5,0.0,0.0,0.375,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.057672619,0.057672619,,0.0032419220692241,0.0001211156756276,,8.39599492769963e-05,0.0032419220692241,-0.8757675939999999,-10430.778026207628,4.8458293461967755e-05,0.8757675939999999,18072.60494402969,2026.4964390916216,0.0032419220692241,1961.6579977071397,1688.5079977071396,1.051005870292227e-05,3.4072791257844525e-08,0.21688875014079964,1961.6580867683929,1688.5080867683928
Mo75-V25,B2_TERN_SOL_093_Ru_Ti75_Ta25,-0.003025035,3.10818653,3.098798357,-0.958150623,6.125,0.045498955,1.8652,0.33501785,-8.56,0.75,0.0,0.25,0.0,B2_TERN_SOL_093_Ru_Ti75_Ta25,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,-0.089033116,-0.089033116,,-0.0030250349149914,0.0001168985317059,,8.39599492769963e-05,-0.0030250349149914,-0.869117507,-10351.572559109734,4.8458293461967755e-05,0.869117507,17935.371737391506,2011.1083638562764,0.0030250349149914,1950.6076655564484,1677.4576655564483,9.150836236917027e-06,2.7681599118042525e-08,0.18883942423806183,1950.6077554795793,1677.4577554795792
