B2_Name,a_B2,a_BCC,Pred_Misfit,Pred_Energy,Misfit,B2_Ru,B2_Hf,B2_Ti,B2_Al,B2_Zr,B2_Mo,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,Design_Window
B2_PENALTY_136_Ru62Cu37_Ti,2.440175866,3.26436851,-0.28938371493000054,-0.6806409090000018,-0.288960025,0.3125,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_137_Ru50Cu50_Ti,3.872743044,3.26436851,0.17137832727574998,-0.5577977589999992,0.170482002,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_138_Ru87Si12_Ti,2.443848687,3.26436851,-0.2881105209449991,-0.989505901999998,-0.287487247,0.4375,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_139_Ru75Si25_Ti,3.0820502,3.26436851,-0.05787309231499996,-0.9361164499999955,-0.057455494,0.375,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_140_Ru62Si37_Ti,2.448470295,3.26436851,-0.28542714848500067,-0.8697570390000041,-0.285636701,0.3125,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_141_Ru50Si50_Ti,3.890404933,3.26436851,0.17406957923925057,-0.808674346999996,0.174998252,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_142_Ru100Al0_Zr,5.194385147,3.26436851,0.16099371884258318,-0.9600642772130965,0.456335937,0.5,0.0,0.0,0.0,0.5,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_143_Ru87Al12_Zr,2.608733784,3.26436851,-0.22503171668749974,-0.873413171761017,-0.223266919,0.4375,0.0,0.0,0.0625,0.5,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_144_Ru75Al25_Zr,3.302387941,3.26436851,0.009911159447499979,-0.7979355870000012,0.011579364,0.375,0.0,0.0,0.125,0.5,0.0,0.25,0.75,0.0,0.0,secondary_2pct
B2_PENALTY_145_Ru62Al37_Zr,2.633831346,3.26436851,-0.21763717281999984,-0.7266526570000003,-0.213806646,0.3125,0.0,0.0,0.1875,0.5,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_146_Ru50Al50_Zr,4.199293486,3.26436851,0.24816274494000076,-0.6544182840000012,0.250527148,0.25,0.0,0.0,0.25,0.5,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_147_Ru87Cr12_Zr,2.592179044,3.26436851,-0.2292366765831431,-0.8240750509999968,-0.229551441,0.4375,0.0,0.0,0.0,0.5,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_148_Ru75Cr25_Zr,3.262005664,3.26436851,-0.00045959696321428556,-0.6758889759999992,-0.000724091,0.375,0.0,0.0,0.0,0.5,0.0,0.25,0.75,0.0,0.0,secondary_2pct
B2_PENALTY_149_Ru62Cr37_Zr,2.585500791,3.26436851,-0.23251681007000005,-0.5257646360000018,-0.232096713,0.3125,0.0,0.0,0.0,0.5,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_150_Ru50Cr50_Zr,4.09832298,3.26436851,0.22571610496450012,-0.37785516600000185,0.22653522,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_151_Ru87Cu12_Zr,2.598620194,3.26436851,-0.22774378722472266,-0.8424977280000019,-0.227102029,0.4375,0.0,0.0,0.0,0.5,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_152_Ru75Cu25_Zr,3.273069781,3.26436851,0.0036631968432142914,-0.7449165740000009,0.002661982,0.375,0.0,0.0,0.0,0.5,0.0,0.25,0.75,0.0,0.0,secondary_2pct
B2_PENALTY_153_Ru62Cu37_Zr,2.597649425,3.26436851,-0.22849692635000016,-0.643740808999997,-0.227470844,0.3125,0.0,0.0,0.0,0.5,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_154_Ru50Cu50_Zr,4.124319928,3.26436851,0.23220793374333326,-0.5452833049999989,0.23277512,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_155_Ru87Si12_Zr,2.603487904,3.26436851,-0.22821429072516708,-0.8975159743608669,-0.225254525,0.4375,0.0,0.0,0.0,0.5,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_156_Ru75Si25_Zr,3.285422312,3.26436851,0.004414732489642861,-0.8575769708067681,0.006428847,0.375,0.0,0.0,0.0,0.5,0.0,0.25,0.75,0.0,0.0,secondary_2pct
B2_PENALTY_157_Ru62Si37_Zr,2.611968248,3.26436851,-0.22434157155000023,-0.806319255999997,-0.222043184,0.3125,0.0,0.0,0.0,0.5,0.0,0.25,0.75,0.0,0.0,none
B2_PENALTY_158_Ru50Si50_Zr,4.150436873,3.26436851,0.23736418185966698,-0.7700789560000009,0.238999763,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_159_A_Ru87_Al12_B_HfTi,2.518380484,3.26436851,-0.25857281497250045,-0.9951158348858226,-0.258004636,0.4375,0.25,0.25,0.0625,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.26436851,-0.024097994504999973,-0.9000343030000024,-0.02415858,0.375,0.25,0.25,0.125,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_161_A_Ru87_Al12_B_HfZr,2.593983772,3.26436851,-0.2298836847510006,-0.9668944039999964,-0.228864604,0.4375,0.25,0.0,0.0625,0.25,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.26436851,0.005421340397500006,-0.8758682595082984,0.005940563,0.375,0.25,0.0,0.125,0.25,0.0,0.25,0.75,0.0,0.0,secondary_2pct
B2_MULTI_163_A_Ru87_Al12_B_HfAl,2.495293785,3.26436851,-0.27694926734500036,-4.954411073999979,-0.267055492,0.25,0.0625,0.0,0.1875,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_163_A_Ru87_Al13_B_HfAl,2.494957013,3.26436851,-0.26797284847999964,-1.042495012961614,-0.267188057,0.4375,0.25,0.0,0.3125,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.26436851,-0.0311171563549999,-0.9328003089999964,-0.032220935,0.375,0.25,0.0,0.375,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_165_A_Ru87_Al12_B_TiZr,2.533666714,3.26436851,-0.2520447198399997,-0.8820999873413358,-0.25205152,0.4375,0.0,0.25,0.0625,0.25,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.26436851,-0.017670291657857197,-0.808063227,-0.01792898,0.375,0.0,0.25,0.125,0.25,0.0,0.25,0.75,0.0,0.0,secondary_2pct
B2_MULTI_167_A_Ru87_Al12_B_TiAl,2.424572308,3.26436851,-0.2944263941450002,-5.952786629000001,-0.295238157,0.0625,0.0,0.0625,0.25,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_167_A_Ru87_Al13_B_TiAl,2.424470144,3.26436851,-0.2944539245299997,-1.0210210769872234,-0.295279377,0.4375,0.0,0.25,0.3125,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_168_A_Ru75_Al25_B_TiAl,3.070901903,3.26436851,-0.060587707039999966,-0.9413853389999953,-0.061076038,0.375,0.0,0.25,0.375,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_169_A_Ru87_Al12_B_ZrAl,2.512434563,3.26436851,-0.2619048266550005,-3.978965603999996,-0.260328745,0.3125,0.0,0.0,0.0625,0.125,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_169_A_Ru87_Al13_B_ZrAl,2.512433663,3.26436851,-0.26048190917750047,-0.9520394900000023,-0.260329097,0.4375,0.0,0.0,0.3125,0.25,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.26436851,-0.027156347139999967,-0.8854183384772708,-0.026147352,0.375,0.0,0.0,0.375,0.25,0.0,0.25,0.75,0.0,0.0,none
B2_017_RuAl,2.388477153,3.02092873,-0.25363146318749924,-1.0018410291924618,-0.233834026,0.5,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_108_Ru100Al0_Hf,5.135083991,3.02092873,-0.020170631595249993,-1.1901021191043604,0.518428633,0.5,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_109_Ru87Al12_Hf,2.578995294,3.02092873,-0.15984505595999943,-1.0644391099999968,-0.157835511,0.4375,0.5,0.0,0.0625,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,3.02092873,0.07501785388500001,-0.9557422499999952,0.077586336,0.375,0.5,0.0,0.125,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_111_Ru62Al37_Hf,2.60403723,3.02092873,-0.16169699100999999,-0.8428135389999994,-0.148228986,0.3125,0.5,0.0,0.1875,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_112_Ru50Al50_Hf,4.152701731,3.02092873,0.31223518533349925,-0.7296493139999997,0.315537023,0.25,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_113_Ru87Cr12_Hf,2.562502587,3.02092873,-0.16660833404999997,-1.035615576999996,-0.164209468,0.4375,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
