BCC_Name,B2_Name,Misfit,a_BCC,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,B2_Name.1,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si,BCC_formation_energy_per_atom_from_BCC,BCC_formation_energy_eV_per_atom_calc,DeltaE_B2_minus_BCC_eV_per_atom,lattice_misfit_delta,S_conf_eV_per_K,Ts_star_K_simple,S_conf_eV_per_K_fixed,lattice_misfit_delta_fixed,DeltaE_B2_minus_BCC_eV_per_atom_fixed,Ts_star_K_simple_fixed
Mo25-Ta75,MATRIX_BIN_025_Nb50_Ta50,0.246353393,3.26436851,4.181529649,0.032388069,5.0,0.0,1.55,0.05,-1.0,0.25,0.75,0.0,0.0,MATRIX_BIN_025_Nb50_Ta50,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,0.2463533933489029,0.0001122637007695,,5.9730802546012426e-05,0.24635339334890294,0.09880060399999999,1654.098049727206
Mo25-Ta75,MATRIX_BIN_026_Nb75_Ta25,0.017585365,3.26436851,3.322282844,0.043369138,5.0,0.0,1.575,0.04330127,-0.75,0.25,0.75,0.0,0.0,MATRIX_BIN_026_Nb75_Ta25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,0.0175853649714825,0.0001107829646534,,4.8458293461967755e-05,0.017585364971482564,0.109781673,2265.487807286519
Mo25-Ta75,MATRIX_BIN_027_Nb87_Ta12,-0.212210464,3.26436851,2.638087089,0.04776952,5.0,0.0,1.588,0.032496154,-0.4224,0.25,0.75,0.0,0.0,MATRIX_BIN_027_Nb87_Ta12,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.2122104641011126,0.0001085161481549,,3.246754042778828e-05,-0.2122104641011126,0.114182055,3516.806431763892
Mo25-Ta75,MATRIX_BIN_028_Nb12_W87,-0.253462628,3.26436851,2.53003601,-0.064576028,5.875,0.016266667,2.2688,0.246970768,-0.8448,0.25,0.75,0.0,0.0,MATRIX_BIN_028_Nb12_W87,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.875,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.253462628460051,0.0001116814489332,,3.246754042778828e-05,-0.253462628460051,0.0018365070000000011,56.56440173177312
Mo25-Ta75,MATRIX_BIN_029_Nb25_W75,-0.019260655,3.26436851,3.202094355,-0.067975525,5.75,0.021535268,2.17,0.329089653,-1.5,0.25,0.75,0.0,0.0,MATRIX_BIN_029_Nb25_W75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.0192606549515846,0.000115615783526,,4.8458293461967755e-05,-0.01926065495158467,-0.0015629900000000002,-32.25433436335732
Mo25-Ta75,MATRIX_BIN_030_Nb50_W50,0.221400585,3.26436851,4.077067638,-0.024208031,5.5,0.024561404,1.98,0.38,-2.0,0.25,0.75,0.0,0.0,MATRIX_BIN_030_Nb50_W50,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,0.2214005847401943,0.0001190521584726,,5.9730802546012426e-05,0.2214005847401943,0.04220450399999999,706.5785524560564
Mo25-Ta75,MATRIX_BIN_031_Nb75_W25,0.004212377,3.26436851,3.278148285,0.026336168,5.25,0.021012748,1.79,0.329089653,-1.5,0.25,0.75,0.0,0.0,MATRIX_BIN_031_Nb75_W25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,0.0042123774173665,0.0001181889595314,,4.8458293461967755e-05,0.004212377417366559,0.09274870299999999,1913.9902867770888
Mo25-Ta75,MATRIX_BIN_032_Nb87_W12,-0.218996611,3.26436851,2.620036168,0.042204846,5.125,0.015670507,1.6912,0.246970768,-0.8448,0.25,0.75,0.0,0.0,MATRIX_BIN_032_Nb87_W12,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.125,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.2189966113000225,0.0001151873671298,,3.246754042778828e-05,-0.21899661130002257,0.10861738099999999,3345.4145145850553
Mo25-Ta75,MATRIX_BIN_033_Nb12_V87,-0.30249203,3.26436851,2.406649618,0.08248568,5.0,0.02879163,1.6264,0.009748846,-0.4224,0.25,0.75,0.0,0.0,MATRIX_BIN_033_Nb12_V87,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.875,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.3024920296992569,0.0001091539993955,,3.246754042778828e-05,-0.3024920296992569,0.148898215,4586.063897607753
Mo25-Ta75,MATRIX_BIN_034_Nb25_V75,-0.057862933,3.26436851,3.080793662,0.119704924,5.0,0.03792812,1.6225,0.012990381,-0.75,0.25,0.75,0.0,0.0,MATRIX_BIN_034_Nb25_V75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.0578629333731078,0.0001115633699468,,4.8458293461967755e-05,-0.05786293337310784,0.18611745899999999,3840.77617479603
Mo25-Ta75,MATRIX_BIN_035_Nb50_V50,0.201958997,3.26436851,3.997687259,0.146260085,5.0,0.042857143,1.615,0.015,-1.0,0.25,0.75,0.0,0.0,MATRIX_BIN_035_Nb50_V50,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,-0.066412535,-0.066412535,,0.201958996825765,0.000113148775399,,5.9730802546012426e-05,0.20195899682576507,0.21267262,3560.518374689038
Mo25-Ta75,MATRIX_BIN_036_Nb75_V25,-0.00363415,3.26436851,3.252526823,0.114812331,5.0,0.03633673,1.6075,0.012990381,-0.75,0.25,0.75,0.0,0.0,MATRIX_BIN_036_Nb75_V25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.0036341498197881,0.0001114390060987,,4.8458293461967755e-05,-0.0036341498197881177,0.18122486599999998,3739.811145892568
Mo25-Ta75,MATRIX_BIN_037_Nb87_V12,-0.222715705,3.26436851,2.61019026,0.086073827,5.0,0.026975224,1.6036,0.009748846,-0.4224,0.25,0.75,0.0,0.0,MATRIX_BIN_037_Nb87_V12,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.125,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.2227157053362835,0.0001089779887437,,3.246754042778828e-05,-0.22271570533628354,0.152486362,4696.578798112164
Mo25-Ta75,MATRIX_BIN_038_Mo12_Ta87,-0.222999395,3.26436851,2.609440574,-0.021898875,5.125,0.015670507,1.5792,0.214474614,-0.8448,0.25,0.75,0.0,0.0,MATRIX_BIN_038_Mo12_Ta87,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.875,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.2229993949868051,0.0001140496568562,,3.246754042778828e-05,-0.2229993949868051,0.04451366,1371.0203918588702
Mo25-Ta75,MATRIX_BIN_039_Mo25_Ta75,0.00019572,3.26436851,3.265007474,-0.045341345,5.25,0.021012748,1.665,0.285788383,-1.5,0.25,0.75,0.0,0.0,MATRIX_BIN_039_Mo25_Ta75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,0.0001957197752328,0.0001169898688099,,4.8458293461967755e-05,0.00019571977523288607,0.021071189999999997,434.8314497814004
Mo25-Ta75,MATRIX_BIN_040_Mo50_Ta50,0.216430908,3.26436851,4.056611707,-0.115010835,5.5,0.024561404,1.83,0.33,-2.0,0.25,0.75,0.0,0.0,MATRIX_BIN_040_Mo50_Ta50,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,0.2164309077520349,0.0001178422431543,,5.9730802546012426e-05,0.21643090775203494,-0.04859830000000001,-813.6220832218567
Mo25-Ta75,MATRIX_BIN_041_Mo75_Ta25,-0.02504177,3.26436851,3.183633813,-0.13445637,5.75,0.021535268,1.995,0.285788383,-1.5,0.25,0.75,0.0,0.0,MATRIX_BIN_041_Mo75_Ta25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.025041770444784,0.0001144417151856,,4.8458293461967755e-05,-0.025041770444784006,-0.068043835,-1404.1731587886777
Mo25-Ta75,MATRIX_BIN_042_Mo87_Ta12,-0.259529874,3.26436851,2.514476987,-0.10635318,5.875,0.016266667,2.0808,0.214474614,-0.8448,0.25,0.75,0.0,0.0,MATRIX_BIN_042_Mo87_Ta12,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.2595298743976785,0.0001105738667869,,3.246754042778828e-05,-0.2595298743976785,-0.03994064500000001,-1230.1715643916057
Mo25-Ta75,MATRIX_BIN_043_Mo12_W87,-0.259148749,3.26436851,2.515451896,-0.03228228,6.0,0.0,2.336,0.064992307,-0.4224,0.25,0.75,0.0,0.0,MATRIX_BIN_043_Mo12_W87,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.875,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.2591487490588994,0.0001056945696788,,3.246754042778828e-05,-0.2591487490588994,0.034130255,1051.2115962682728
