mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score
1.1383098443349202,0.06635008825476656,0.13042445182800294,0.025631170292144012,200,4,8,0.5,8,True,"{'n_estimators': 200, 'min_samples_split': 4, 'min_samples_leaf': 8, 'max_features': 0.5, 'max_depth': 8, 'bootstrap': True}",-0.042960942684869316,-0.04895113619467752,-0.04205133913875355,-0.044789413214011434,-0.040517786838645604,-0.04662803775769863,-0.04698529036077171,-0.040416301192260314,-0.04083399920441506,-0.04279571012062112,-0.04232107369661308,-0.047481981793161196,-0.04126975791860549,-0.04704500955014293,-0.041224983247594806,-0.043751517527522786,0.002836885904187958,39,-0.04238616414384111,-0.03729926565258244,-0.041152890826640164,-0.04197560828901949,-0.039923406862672296,-0.04174032047728386,-0.03954727873567125,-0.04244335397801653,-0.03974632103960487,-0.03929028401675276,-0.04105750436251255,-0.03759601840127328,-0.04005376384201211,-0.042218667802778956,-0.042965387138391146,-0.04062641570460352,0.0016877576703063252
0.0018495877583821615,0.00035019241933844736,0.0,0.0,600,8,1,auto,,False,"{'n_estimators': 600, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': None, 'bootstrap': False}",,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,
2.3830127398173016,0.10845581538936354,0.19084121386210123,0.04015406784519182,400,4,4,0.5,16,False,"{'n_estimators': 400, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 16, 'bootstrap': False}",-0.021018264821583015,-0.030726643420418948,-0.021146294285438363,-0.02288358676478932,-0.024730083908081398,-0.027453388392497117,-0.024615896188444987,-0.020458951789061777,-0.022131262688800016,-0.023672481391684718,-0.02075325889915868,-0.027546565653206324,-0.02368919600156396,-0.0287498061526563,-0.02141304393184909,-0.024065914952615602,0.0031081515034795796,2,-0.017504981770650584,-0.015152442926755142,-0.01788560364717808,-0.017525594107282997,-0.01645865845203415,-0.016323562114047663,-0.016582069693692723,-0.018223926103776187,-0.017342556874245723,-0.016871099863281887,-0.017811536925706084,-0.015803285885424772,-0.016921458094147593,-0.016564239006495108,-0.017336136787842616,-0.016953810150170754,0.0008022474946028206
1.0451613426208497,0.09794173173620384,0.11305276552836101,0.03117139209036887,200,8,4,0.3,,False,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 0.3, 'max_depth': None, 'bootstrap': False}",-0.02384315949920096,-0.03386716815869499,-0.02411571521041172,-0.02556183632708524,-0.027443884197256307,-0.03000443250627507,-0.027408117492468693,-0.02342525717132782,-0.02565292380408111,-0.026885924642626267,-0.02423195362717545,-0.030265027491642386,-0.026353803767436727,-0.030209527666300535,-0.024290063982947654,-0.026903919702995396,0.002918379458914101,10,-0.02038387297882109,-0.018269302165856805,-0.020719960670332778,-0.02038593195497007,-0.019578982506924282,-0.019175992218513696,-0.019510115034596622,-0.020654860081157498,-0.019989714210275202,-0.019897097219851296,-0.02074680104665684,-0.018830933005250735,-0.019707004140472315,-0.019102548923928517,-0.020162830547453204,-0.019807729780337402,0.0007133685027968628
4.948221222559611,0.31439255039540714,0.3753880182902018,0.04412844330079119,1000,8,1,0.3,20,True,"{'n_estimators': 1000, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': 20, 'bootstrap': True}",-0.024246451570264126,-0.03430819613213372,-0.025441586255318657,-0.02667376783985494,-0.028092541430268615,-0.03064357842844605,-0.02854098464356725,-0.023759372485928177,-0.026661260662752494,-0.02794574834260215,-0.025370440310997767,-0.031209564882701026,-0.027061409613296797,-0.030891871491811874,-0.025456430835592684,-0.027753546995035756,0.0028433909502203576,17,-0.02227051524711688,-0.01994570187106859,-0.022508939882532768,-0.02199434770114374,-0.02145210067066532,-0.020885260159867008,-0.02156502993952277,-0.022661985286332148,-0.021955560281818408,-0.021580275622515202,-0.022510386232649945,-0.020666715006161504,-0.02169134047529897,-0.021070973584623606,-0.022064330763054155,-0.021654897514958072,0.0007355262464360831
0.0012825806935628256,0.0004909625840922516,0.0,0.0,100,8,8,auto,28,True,"{'n_estimators': 100, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 'auto', 'max_depth': 28, 'bootstrap': True}",,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,
2.465770149230957,0.2170481363778415,0.2607786019643148,0.05185736705249794,600,2,8,0.3,20,True,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 0.3, 'max_depth': 20, 'bootstrap': True}",-0.03417617358596063,-0.041878434226807745,-0.0331326465866273,-0.03664008710898132,-0.03556893574713297,-0.03867740892751024,-0.03834552601491279,-0.03217952010457629,-0.035130745510450756,-0.036692256405042666,-0.03456583533311714,-0.04227831029455383,-0.0343686505192479,-0.03914253135403338,-0.032954794148965426,-0.03638212372452802,0.003014346678482288,33,-0.033412416525534706,-0.030438388666624443,-0.03248060586482939,-0.03321376318594803,-0.03292313983239313,-0.03186757168189932,-0.03215394505159785,-0.03351290695521996,-0.0327294046589887,-0.03280674342630444,-0.03324726308828081,-0.03154699889521957,-0.03264313827331944,-0.03242289442719793,-0.03323220361700603,-0.03257542561002425,0.0007919544824572164
1.6614317735036215,0.11095982323904005,0.21427671114603677,0.028736028021239313,400,2,4,sqrt,16,False,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 16, 'bootstrap': False}",-0.02714424154871071,-0.036596604850645,-0.027766176224899363,-0.02914377960344461,-0.030564737078234948,-0.03263637806483068,-0.03174376046876489,-0.026582297546564316,-0.028863346484226095,-0.029599074679260023,-0.02807125124019856,-0.03358898827315148,-0.029298522874239365,-0.03289930781071334,-0.027613759238777576,-0.030140815065777395,0.0027292592452132828,25,-0.023825465015658066,-0.02165363365887293,-0.024254097863917693,-0.024046718194217907,-0.023104323706924924,-0.02276560350091563,-0.023578556464350617,-0.02443661993423647,-0.023754757232508132,-0.022888799601379007,-0.02447920947536056,-0.021907057662908107,-0.023222265685565097,-0.023214127176123554,-0.023718607990952247,-0.023389989544259398,0.0008132971867684945
0.6254013538360595,0.07371157494313467,0.07985811233520508,0.017753651622019053,100,2,8,0.5,16,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 0.5, 'max_depth': 16, 'bootstrap': True}",-0.029044483072814223,-0.0373320040863001,-0.028499724034748868,-0.030215765179136055,-0.029926374698807153,-0.03406124545472511,-0.032845946492112664,-0.026711479965348676,-0.029620723453698643,-0.030404939483038764,-0.028192238151877654,-0.036428360443562,-0.028829342271159603,-0.034425194003336775,-0.02763811522103724,-0.030945062400780234,0.0031666530652628352,29,-0.028746461686429615,-0.025685703605097067,-0.02808110444368969,-0.027728833708104503,-0.02736249200355062,-0.026768630005604803,-0.02694608371840144,-0.028415750037636387,-0.027822787861296806,-0.026994775092856464,-0.02791237186353897,-0.026741945967350987,-0.027560562335628837,-0.026990332645938152,-0.028192080484602648,-0.027463327697315125,0.0007642420689862766
0.44821049372355143,0.04991643794263076,0.07471268971761068,0.01614941411128067,100,2,1,0.3,8,False,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': 8, 'bootstrap': False}",-0.04843849068716766,-0.056264546217968316,-0.049543657124501136,-0.05146313082213498,-0.0480274571222456,-0.053157302899223276,-0.05404771665288359,-0.04958422192955888,-0.04855426142933534,-0.04755549382320805,-0.05067809437851109,-0.05244277448221104,-0.04840075582621388,-0.05310355822646994,-0.049226166222450095,-0.050699175189605525,0.002508608306389356,40,-0.04621331022239698,-0.042508553652719404,-0.047533288191530194,-0.04689416977032094,-0.04653231344579648,-0.04613533654573658,-0.045641582426144175,-0.04893099874502982,-0.045945334433637464,-0.04249948603465833,-0.0470496259473801,-0.04175695620923724,-0.04373850831747843,-0.0484110375450531,-0.04845219255068468,-0.04588284626918692,0.002198539562290633
