target,baseline_r2,baseline_mae,tuned_r2,tuned_mae,best_params
misfit,0.7166982997269653,0.022740627901614678,0.7930511473259476,0.022363428414486117,"{""n_estimators"": 100, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 28, ""bootstrap"": true}"
energy,0.9999987020674992,0.00022227436547903094,0.9999990143184689,0.00023376963621205178,"{""n_estimators"": 400, ""min_samples_split"": 4, ""min_samples_leaf"": 4, ""max_features"": 0.5, ""max_depth"": 16, ""bootstrap"": false}"
