BCC_Name,B2_Name,Misfit,a_BCC,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,BCC_Name,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,B2_Name,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si
Mo25-Ta75,MATRIX_BIN_034_Nb25_V75,-0.057862933,3.26436851,3.080793662,0.119704924,5,0.03792812,1.6225,0.012990381,-0.75,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_034_Nb25_V75,0,0,0,0,0,0,0.25,0,0,0.75,0,0,0
Mo25-Ta75,MATRIX_BIN_035_Nb50_V50,0.201958997,3.26436851,3.997687259,0.146260085,5,0.042857143,1.615,0.015,-1,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_035_Nb50_V50,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0
Mo25-Ta75,MATRIX_BIN_036_Nb75_V25,-0.00363415,3.26436851,3.252526823,0.114812331,5,0.03633673,1.6075,0.012990381,-0.75,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_036_Nb75_V25,0,0,0,0,0,0,0.75,0,0,0.25,0,0,0
Mo25-Ta75,MATRIX_BIN_037_Nb87_V12,-0.222715705,3.26436851,2.61019026,0.086073827,5,0.026975224,1.6036,0.009748846,-0.4224,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_037_Nb87_V12,0,0,0,0,0,0,0.875,0,0,0.125,0,0,0
Mo25-Ta75,MATRIX_BIN_038_Mo12_Ta87,-0.222999395,3.26436851,2.609440574,-0.021898875,5.125,0.015670507,1.5792,0.214474614,-0.8448,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_038_Mo12_Ta87,0,0,0,0,0,0.125,0,0.875,0,0,0,0,0
Mo25-Ta75,MATRIX_BIN_039_Mo25_Ta75,0.00019572,3.26436851,3.265007474,-0.045341345,5.25,0.021012748,1.665,0.285788383,-1.5,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_039_Mo25_Ta75,0,0,0,0,0,0.25,0,0.75,0,0,0,0,0
Mo25-Ta75,MATRIX_BIN_040_Mo50_Ta50,0.216430908,3.26436851,4.056611707,-0.115010835,5.5,0.024561404,1.83,0.33,-2,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_040_Mo50_Ta50,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0
Mo25-Ta75,MATRIX_BIN_041_Mo75_Ta25,-0.02504177,3.26436851,3.183633813,-0.13445637,5.75,0.021535268,1.995,0.285788383,-1.5,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_041_Mo75_Ta25,0,0,0,0,0,0.75,0,0.25,0,0,0,0,0
Mo25-Ta75,MATRIX_BIN_042_Mo87_Ta12,-0.259529874,3.26436851,2.514476987,-0.10635318,5.875,0.016266667,2.0808,0.214474614,-0.8448,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_042_Mo87_Ta12,0,0,0,0,0,0.875,0,0.125,0,0,0,0,0
Mo25-Ta75,MATRIX_BIN_043_Mo12_W87,-0.259148749,3.26436851,2.515451896,-0.03228228,6,0,2.336,0.064992307,-0.4224,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_043_Mo12_W87,0,0,0,0,0,0.125,0,0,0.875,0,0,0,0
Mo25-Ta75,MATRIX_BIN_044_Mo25_W75,-0.03029747,3.26436851,3.166942287,-0.031021756,6,0,2.31,0.08660254,-0.75,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_044_Mo25_W75,0,0,0,0,0,0.25,0,0,0.75,0,0,0,0
Mo25-Ta75,MATRIX_BIN_045_Mo50_W50,0.198613844,3.26436851,3.984201707,-0.031400886,6,0,2.26,0.1,-1,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_045_Mo50_W50,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0
Mo25-Ta75,MATRIX_BIN_046_Mo75_W25,-0.033259806,3.26436851,3.157572258,-0.029765179,6,0,2.21,0.08660254,-0.75,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_046_Mo75_W25,0,0,0,0,0,0.75,0,0,0.25,0,0,0,0
Mo25-Ta75,MATRIX_BIN_047_Mo87_W12,-0.26363714,3.26436851,2.503991537,-0.029998622,6,0,2.184,0.064992307,-0.4224,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_047_Mo87_W12,0,0,0,0,0,0.875,0,0,0.125,0,0,0,0
Mo25-Ta75,MATRIX_BIN_048_Mo12_V87,-0.312122522,3.26436851,2.383028597,-0.006338223,5.125,0.01207138,1.6936,0.172229614,-0.4224,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_048_Mo12_V87,0,0,0,0,0,0.125,0,0,0,0.875,0,0,0
Mo25-Ta75,MATRIX_BIN_049_Mo25_V75,-0.076728586,3.26436851,3.023152221,-0.037424369,5.25,0.016007863,1.7625,0.229496732,-0.75,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_049_Mo25_V75,0,0,0,0,0,0.25,0,0,0,0.75,0,0,0
Mo25-Ta75,MATRIX_BIN_050_Mo50_V50,0.167606576,3.26436851,3.861543353,-0.097449414,5.5,0.018315018,1.895,0.265,-1,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_050_Mo50_V50,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0
Mo25-Ta75,MATRIX_BIN_051_Mo75_V25,-0.049235368,3.26436851,3.107507677,-0.114008179,5.75,0.015717339,2.0275,0.229496732,-0.75,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_051_Mo75_V25,0,0,0,0,0,0.75,0,0,0,0.25,0,0,0
Mo25-Ta75,MATRIX_BIN_052_Mo87_V12,-0.271330432,3.26436851,2.484453351,-0.088360288,5.875,0.01173994,2.0964,0.172229614,-0.4224,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_052_Mo87_V12,0,0,0,0,0,0.875,0,0,0,0.125,0,0,0
Mo25-Ta75,MATRIX_BIN_053_Ta12_W87,-0.254116801,3.26436851,2.528354403,-0.093051999,5.875,0.016266667,2.2568,0.279466921,-0.4224,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_053_Ta12_W87,0,0,0,0,0,0,0,0.125,0.875,0,0,0,0
Mo25-Ta75,MATRIX_BIN_054_Ta25_W75,-0.020604693,3.26436851,3.197793083,-0.107372831,5.75,0.021535268,2.145,0.372390924,-0.75,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_054_Ta25_W75,0,0,0,0,0,0,0,0.25,0.75,0,0,0,0
Mo25-Ta75,MATRIX_BIN_055_Ta50_W50,0.219283059,3.26436851,4.068337625,-0.070797609,5.5,0.024561404,1.93,0.43,-1,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_055_Ta50_W50,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Mo25-Ta75,MATRIX_BIN_056_Ta75_W25,0.001292929,3.26436851,3.268591838,-0.021707099,5.25,0.021012748,1.715,0.372390924,-0.75,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_056_Ta75_W25,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0
Mo25-Ta75,MATRIX_BIN_057_Ta87_W12,-0.222505441,3.26436851,2.610746034,-0.005622646,5.125,0.015670507,1.6032,0.279466921,-0.4224,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_057_Ta87_W12,0,0,0,0,0,0,0,0.875,0.125,0,0,0,0
Mo25-Ta75,MATRIX_BIN_058_Ta12_V87,-0.302798027,3.26436851,2.405896049,0.06873568,5,0.02879163,1.6144,0.042245,0,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_058_Ta12_V87,0,0,0,0,0,0,0,0.125,0,0.875,0,0,0
Mo25-Ta75,MATRIX_BIN_059_Ta25_V75,-0.058107751,3.26436851,3.080038888,0.103170482,5,0.03792812,1.5975,0.056291651,0,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_059_Ta25_V75,0,0,0,0,0,0,0,0.25,0,0.75,0,0,0
Mo25-Ta75,MATRIX_BIN_060_Ta50_V50,0.200593612,3.26436851,3.992176831,0.118279576,5,0.042857143,1.565,0.065,0,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_060_Ta50_V50,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0
Mo25-Ta75,MATRIX_BIN_061_Ta75_V25,-0.006183535,3.26436851,3.244245389,0.083356798,5,0.03633673,1.5325,0.056291651,0,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_061_Ta75_V25,0,0,0,0,0,0,0,0.75,0,0.25,0,0,0
Mo25-Ta75,MATRIX_BIN_062_Ta87_V12,-0.225983938,3.26436851,2.601565119,0.048231505,5,0.026975224,1.5156,0.042245,0,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_062_Ta87_V12,0,0,0,0,0,0,0,0.875,0,0.125,0,0,0
Mo25-Ta75,MATRIX_BIN_063_W12_V87,-0.310666187,3.26436851,2.38658796,0.007573578,5.125,0.01207138,1.7176,0.237221921,0,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_063_W12_V87,0,0,0,0,0,0,0,0,0.125,0.875,0,0,0
Mo25-Ta75,MATRIX_BIN_064_W25_V75,-0.073650306,3.26436851,3.032485885,-0.010397496,5.25,0.016007863,1.8125,0.316099272,0,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_064_W25_V75,0,0,0,0,0,0,0,0,0.25,0.75,0,0,0
Mo25-Ta75,MATRIX_BIN_065_W50_V50,0.172789745,3.26436851,3.881757122,-0.05491275,5.5,0.018315018,1.995,0.365,0,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_065_W50_V50,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0
Mo25-Ta75,MATRIX_BIN_066_W75_V25,-0.042952563,3.26436851,3.12710346,-0.09208095,5.75,0.015717339,2.1775,0.316099272,0,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_066_W75_V25,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0
Mo25-Ta75,MATRIX_BIN_067_W87_V12,-0.26512986,3.26436851,2.50019019,-0.084931073,5.875,0.01173994,2.2724,0.237221921,0,Mo25-Ta75,0.25,0.75,0,0,MATRIX_BIN_067_W87_V12,0,0,0,0,0,0,0,0,0.875,0.125,0,0,0
Mo25-Ta75,MATRIX_TERN_068_Nb33_Mo33_Ta33,0.131965396,3.26436851,3.725584467,-0.065262171,5.333333333,0.022968666,1.753333333,0.290440279,-2.222222222,Mo25-Ta75,0.25,0.75,0,0,MATRIX_TERN_068_Nb33_Mo33_Ta33,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0
Mo25-Ta75,MATRIX_TERN_069_Nb33_Mo33_W33,0.118303209,3.26436851,3.674833441,-0.049686914,5.666666667,0.023347865,2.04,0.321662349,-2.222222222,Mo25-Ta75,0.25,0.75,0,0,MATRIX_TERN_069_Nb33_Mo33_W33,0,0,0,0,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0
Mo25-Ta75,MATRIX_TERN_070_Nb33_Mo33_V33,0.10159876,3.26436851,3.613773878,-0.013214523,5.333333333,0.035238241,1.796666667,0.257207223,-1.777777778,Mo25-Ta75,0.25,0.75,0,0,MATRIX_TERN_070_Nb33_Mo33_V33,0,0,0,0,0,0.333333333,0.333333333,0,0,0.333333333,0,0,0
Mo25-Ta75,MATRIX_TERN_071_Nb33_Ta33_W33,0.133227517,3.26436851,3.730310358,-0.031019427,5.333333333,0.022968666,1.82,0.384013889,-1.777777778,Mo25-Ta75,0.25,0.75,0,0,MATRIX_TERN_071_Nb33_Ta33_W33,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0
Mo25-Ta75,MATRIX_TERN_072_Nb33_Ta33_V33,0.121081656,3.26436851,3.685094771,0.08652521,5,0.039837002,1.576666667,0.055577773,-0.888888889,Mo25-Ta75,0.25,0.75,0,0,MATRIX_TERN_072_Nb33_Ta33_V33,0,0,0,0,0,0,0.333333333,0.333333333,0,0.333333333,0,0,0
Mo25-Ta75,MATRIX_TERN_073_Nb33_W33_V33,0.103961641,3.26436851,3.622345558,0.018775382,5.333333333,0.035238241,1.863333333,0.351409859,-1.333333333,Mo25-Ta75,0.25,0.75,0,0,MATRIX_TERN_073_Nb33_W33_V33,0,0,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0
Mo25-Ta75,MATRIX_TERN_074_Mo33_Ta33_W33,0.11651827,3.26436851,3.668257294,-0.093088097,5.666666667,0.023347865,2.006666667,0.367453701,-1.777777778,Mo25-Ta75,0.25,0.75,0,0,MATRIX_TERN_074_Mo33_Ta33_W33,0,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0,0
Mo25-Ta75,MATRIX_TERN_075_Mo33_Ta33_V33,0.099894415,3.26436851,3.607604365,-0.042224622,5.333333333,0.035238241,1.763333333,0.285462588,-1.333333333,Mo25-Ta75,0.25,0.75,0,0,MATRIX_TERN_075_Mo33_Ta33_V33,0,0,0,0,0,0.333333333,0,0.333333333,0,0.333333333,0,0,0
Mo25-Ta75,MATRIX_TERN_076_Mo33_W33_V33,0.084911512,3.26436851,3.553840738,-0.074437179,5.666666667,0.017162786,2.05,0.308004329,-0.888888889,Mo25-Ta75,0.25,0.75,0,0,MATRIX_TERN_076_Mo33_W33_V33,0,0,0,0,0,0.333333333,0,0,0.333333333,0.333333333,0,0,0
Mo25-Ta75,MATRIX_TERN_077_Ta33_W33_V33,0.102346172,3.26436851,3.616482912,-0.005449438,5.333333333,0.035238241,1.83,0.378505834,-0.444444444,Mo25-Ta75,0.25,0.75,0,0,MATRIX_TERN_077_Ta33_W33_V33,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0
Mo25-Ta75,B2_TERN_SOL_078_Ru_Hf87_Nb12,-0.241096597,3.26436851,2.562008656,-1.091011246,6.0625,0.07992932,1.768,0.437465427,-14.1168,Mo25-Ta75,0.25,0.75,0,0,B2_TERN_SOL_078_Ru_Hf87_Nb12,0.5,0.4375,0,0,0,0,0.0625,0,0,0,0,0,0
Mo25-Ta75,B2_TERN_SOL_079_Ru_Hf75_Nb25,-0.013324094,3.26436851,3.221161604,-0.990479496,6.125,0.077231013,1.786,0.423797121,-13.1472,Mo25-Ta75,0.25,0.75,0,0,B2_TERN_SOL_079_Ru_Hf75_Nb25,0.5,0.375,0,0,0,0,0.125,0,0,0,0,0,0
Mo25-Ta75,B2_TERN_SOL_080_Ru_Hf87_Mo12,-0.244028099,3.26436851,2.554397326,-1.011580317,6.125,0.0808002,1.8016,0.444717258,-14.16,Mo25-Ta75,0.25,0.75,0,0,B2_TERN_SOL_080_Ru_Hf87_Mo12,0.5,0.4375,0,0,0,0.0625,0,0,0,0,0,0,0
Mo25-Ta75,B2_TERN_SOL_081_Ru_Hf75_Mo25,-0.019874945,3.26436851,3.200127757,-0.833822359,6.25,0.078536263,1.8532,0.433268693,-13.32,Mo25-Ta75,0.25,0.75,0,0,B2_TERN_SOL_081_Ru_Hf75_Mo25,0.5,0.375,0,0,0,0.125,0,0,0,0,0,0,0
Mo25-Ta75,B2_TERN_SOL_082_Ru_Hf87_Ta12,-0.241755542,3.26436851,2.560296043,-1.113680888,6.0625,0.07992932,1.762,0.44040436,-13.68,Mo25-Ta75,0.25,0.75,0,0,B2_TERN_SOL_082_Ru_Hf87_Ta12,0.5,0.4375,0,0,0,0,0,0.0625,0,0,0,0,0
Mo25-Ta75,B2_TERN_SOL_083_Ru_Hf75_Ta25,-0.014752621,3.26436851,3.216563145,-1.032519678,6.125,0.077231013,1.774,0.430260386,-12.36,Mo25-Ta75,0.25,0.75,0,0,B2_TERN_SOL_083_Ru_Hf75_Ta25,0.5,0.375,0,0,0,0,0,0.125,0,0,0,0,0
Mo25-Ta75,B2_TERN_SOL_084_Ru_Hf87_W12,-0.244047081,3.26436851,2.554348108,-1.017173511,6.125,0.0808002,1.8136,0.456761469,-13.92,Mo25-Ta75,0.25,0.75,0,0,B2_TERN_SOL_084_Ru_Hf87_W12,0.5,0.4375,0,0,0,0,0,0,0.0625,0,0,0,0
Mo25-Ta75,B2_TERN_SOL_085_Ru_Hf75_W25,-0.019635677,3.26436851,3.200893611,-0.836868509,6.25,0.078536263,1.8772,0.454612098,-12.84,Mo25-Ta75,0.25,0.75,0,0,B2_TERN_SOL_085_Ru_Hf75_W25,0.5,0.375,0,0,0,0,0,0,0.125,0,0,0,0
Mo25-Ta75,B2_TERN_SOL_086_Ru_Hf87_V12,-0.247282758,3.26436851,2.545970218,-1.063735031,6.0625,0.082410672,1.7698,0.43683173,-13.44,Mo25-Ta75,0.25,0.75,0,0,B2_TERN_SOL_086_Ru_Hf87_V12,0.5,0.4375,0,0,0,0,0,0,0,0.0625,0,0,0
Mo25-Ta75,B2_TERN_SOL_087_Ru_Hf75_V25,-0.025928001,3.26436851,3.180813173,-0.946727169,6.125,0.081395156,1.7896,0.422326698,-11.88,Mo25-Ta75,0.25,0.75,0,0,B2_TERN_SOL_087_Ru_Hf75_V25,0.5,0.375,0,0,0,0,0,0,0,0.125,0,0,0
Mo25-Ta75,B2_TERN_SOL_088_Ru_Ti87_Nb12,-0.284175616,3.26436851,2.452124543,-0.983188993,6.0625,0.045885062,1.8736,0.326691047,-9.6112,Mo25-Ta75,0.25,0.75,0,0,B2_TERN_SOL_088_Ru_Ti87_Nb12,0.5,0,0.4375,0,0,0,0.0625,0,0,0,0,0,0
Mo25-Ta75,B2_TERN_SOL_089_Ru_Ti75_Nb25,-0.050716871,3.26436851,3.102904429,-0.903188944,6.125,0.045498955,1.8772,0.32330815,-9.1648,Mo25-Ta75,0.25,0.75,0,0,B2_TERN_SOL_089_Ru_Ti75_Nb25,0.5,0,0.375,0,0,0,0.125,0,0,0,0,0,0
Mo25-Ta75,B2_TERN_SOL_090_Ru_Ti87_Mo12,-0.287819542,3.26436851,2.443019595,-0.92145562,6.125,0.044953651,1.9072,0.325619655,-9.76,Mo25-Ta75,0.25,0.75,0,0,B2_TERN_SOL_090_Ru_Ti87_Mo12,0.5,0,0.4375,0,0,0.0625,0,0,0,0,0,0,0
