B2_Name,a_B2,a_BCC,Pred_Misfit,Pred_Energy,Misfit,B2_Ru,B2_Hf,B2_Ti,B2_Al,B2_Zr,B2_Mo,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,Design_Window
B2_MULTI_159_A_Ru87_Al12_B_HfTi,2.518380484,3.26436851,-0.25857281497250045,-0.9951158348858226,-0.258004636,0.4375,0.25,0.25,0.0625,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.26436851,-0.024097994504999973,-0.9000343030000024,-0.02415858,0.375,0.25,0.25,0.125,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_161_A_Ru87_Al12_B_HfZr,2.593983772,3.26436851,-0.2298836847510006,-0.9668944039999964,-0.228864604,0.4375,0.25,0.0,0.0625,0.25,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.26436851,0.005421340397500006,-0.8758682595082984,0.005940563,0.375,0.25,0.0,0.125,0.25,0.0,0.25,0.75,0.0,0.0,secondary_2pct
B2_MULTI_163_A_Ru87_Al12_B_HfAl,2.495293785,3.26436851,-0.27694926734500036,-4.954411073999979,-0.267055492,0.25,0.0625,0.0,0.1875,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_163_A_Ru87_Al13_B_HfAl,2.494957013,3.26436851,-0.26797284847999964,-1.042495012961614,-0.267188057,0.4375,0.25,0.0,0.3125,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.26436851,-0.0311171563549999,-0.9328003089999964,-0.032220935,0.375,0.25,0.0,0.375,0.0,0.0,0.25,0.75,0.0,0.0,none
B2_014_RuHf,2.571059804,3.02092873,-0.020170631595249993,-1.1901021191043604,-0.160897657,0.5,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_TERN_SOL_078_Ru_Hf87_Nb12,2.562008656,3.02092873,-0.16503080884866653,-1.0910112459999959,-0.164400939,0.5,0.4375,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_TERN_SOL_079_Ru_Hf75_Nb25,3.221161604,3.02092873,0.06075076054117538,-0.9908841988318224,0.064155712,0.5,0.375,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_TERN_SOL_080_Ru_Hf87_Mo12,2.554397326,3.02092873,-0.17435309860199993,-1.0115803170000022,-0.167355738,0.5,0.4375,0.0,0.0,0.0,0.0625,0.25,0.0,0.75,0.0,none
B2_TERN_SOL_081_Ru_Hf75_Mo25,3.200127757,3.02092873,0.057588514971337934,-0.833822359000001,0.057610481,0.5,0.375,0.0,0.0,0.0,0.125,0.25,0.0,0.75,0.0,none
B2_TERN_SOL_082_Ru_Hf87_Ta12,2.560296043,3.02092873,-0.1655149667336664,-1.1136808880000029,-0.165065091,0.5,0.4375,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_TERN_SOL_083_Ru_Hf75_Ta25,3.216563145,3.02092873,0.059656142784867056,-1.031572072333247,0.062728551,0.5,0.375,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_TERN_SOL_084_Ru_Hf87_W12,2.554348108,3.02092873,-0.1720980442769999,-1.0171735110000026,-0.167374871,0.5,0.4375,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_TERN_SOL_085_Ru_Hf75_W25,3.200893611,3.02092873,0.05152679384060603,-0.8368685089999989,0.057849572,0.5,0.375,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_TERN_SOL_086_Ru_Hf87_V12,2.545970218,3.02092873,-0.17012202245699976,-1.0637350309999953,-0.170636657,0.5,0.4375,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_TERN_SOL_087_Ru_Hf75_V25,3.180813173,3.02092873,0.05025004074177733,-0.9467614393620036,0.051561141,0.5,0.375,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
