category,alloy_name,x_Al,x_Cr,x_Cu,x_Hf,x_Mo,x_Nb,x_Ru,x_Si,x_Ta,x_Ti,x_V,x_W,x_Zr,natoms,E_total_eV,E_per_atom_eV,E_form_per_atom_eV,volume_A3,volume_per_atom_A3,Ru_at_frac,vec_avg,radius_avg,vol_avg,delta_r,chi_avg,delta_chi,Hmix_kJmol
01_Baselines,BASE_011_V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,-8.93851939,-8.93851939,0.0,14.895500000000004,14.895500000000004,0.0,5.0,1.34,13.4,0.0,1.63,0.0,0.0
01_Baselines,BASE_012_W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-12.78932715,-12.78932715,0.0,14.895500000000004,14.895500000000004,0.0,6.0,1.39,15.8,0.0,2.36,0.0,0.0
01_Baselines,BASE_013_Zr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-7.14619815,-7.14619815,0.0,14.895500000000004,14.895500000000004,0.0,4.0,1.6,23.3,0.0,1.33,0.0,0.0
02_Binary_B2,B2_014_RuHf,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2,-20.30514992,-10.15257496,-1.5869191550000021,29.79100000000001,14.895500000000006,0.5,6.0,1.46,18.05,0.0821917808219178,1.75,0.45000000000000007,-15.0
02_Binary_B2,B2_015_RuTi,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,2,-18.3919902,-9.1959951,-1.0838670799999992,29.79100000000001,14.895500000000006,0.5,6.0,1.405,15.75,0.0462633451957295,1.87,0.33000000000000007,-10.0
02_Binary_B2,B2_016_RuZr,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,2,-18.20037919,-9.100189595,-1.212439765,29.79100000000001,14.895500000000006,0.5,6.0,1.4700000000000002,18.55,0.08843537414965985,1.7650000000000001,0.43500000000000005,-18.0
02_Binary_B2,B2_017_RuAl,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2,-14.36806087,-7.184030435,-1.1910822050000007,29.79100000000001,14.895500000000006,0.5,5.5,1.385,15.200000000000001,0.03249097472924184,1.9050000000000002,0.29500000000000004,-20.0
03_Matrix_Binaries,MATRIX_BIN_018_Nb12_Mo87,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,-86.92449871,-10.86556233875,-0.16296110499999727,119.16400000000006,14.895500000000007,0.0,5.875,1.3987499999999997,15.9,0.016550723125515757,2.0900000000000003,0.18520259177452136,-0.875
03_Matrix_Binaries,MATRIX_BIN_019_Nb25_Mo75,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,-85.80793625,-10.72599203125,-0.19789656374999964,119.16400000000006,14.895500000000007,0.0,5.75,1.4075,16.2,0.021535267589666326,2.02,0.24248711305964285,-1.5
03_Matrix_Binaries,MATRIX_BIN_020_Nb50_Mo50,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,-83.11726092,-10.389657615,-0.21057367999999954,119.16400000000006,14.895500000000007,0.0,5.5,1.4249999999999998,16.8,0.02456140350877195,1.8800000000000001,0.28,-2.0
03_Matrix_Binaries,MATRIX_BIN_021_Nb75_Mo25,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,-80.34202567,-10.04275320875,-0.21268080624999897,119.16400000000006,14.895500000000007,0.0,5.25,1.4425,17.4,0.02101274809875594,1.7400000000000002,0.24248711305964285,-1.5
03_Matrix_Binaries,MATRIX_BIN_022_Nb87_Mo12,0.0,0.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,-78.90014666,-9.8625183325,-0.20695169624999998,119.16400000000006,14.895500000000007,0.0,5.125,1.45125,17.7,0.01595198895560049,1.6700000000000002,0.18520259177452136,-0.875
03_Matrix_Binaries,MATRIX_BIN_023_Nb12_Ta87,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.875,0.0,0.0,0.0,0.0,8,-88.95547326,-11.1194341575,0.058266534999999564,119.16400000000006,14.895500000000007,0.0,5.0,1.46,18.0,0.0,1.5125,0.03307189138830741,-0.4375
03_Matrix_Binaries,MATRIX_BIN_024_Nb25_Ta75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,8,-87.30243525,-10.91280440625,0.022519168749999707,119.16399999999996,14.895499999999995,0.0,5.0,1.46,18.0,0.0,1.525,0.043301270189221974,-0.75
03_Matrix_Binaries,MATRIX_BIN_025_Nb50_Ta50,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,8,-84.00684586,-10.5008557325,-0.050286392499998556,119.16399999999996,14.895499999999995,0.0,5.0,1.46,18.0,0.0,1.55,0.050000000000000044,-1.0
03_Matrix_Binaries,MATRIX_BIN_026_Nb75_Ta25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,8,-80.71799837,-10.08974979625,-0.12393469124999967,119.16399999999996,14.895499999999995,0.0,5.0,1.46,18.0,0.0,1.5750000000000002,0.043301270189221974,-0.75
