B2_Name,a_B2,a_BCC,Pred_Misfit,Pred_Energy,Misfit,B2_Ru,B2_Hf,B2_Ti,B2_Al,B2_Zr,B2_Mo,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.18583421,-0.0023141829249999977,-0.8854183384772708,-0.001796682,0.375,0.0,0.0,0.375,0.25,0.0,0.75,0.25,0.0,0.0
B2_TERN_SOL_089_Ru_Ti75_Nb25,3.102904429,3.10818653,-0.005272506684938314,-0.9031889439999955,-0.001700861,0.5,0.0,0.375,0.0,0.0,0.0,0.75,0.0,0.25,0.0
B2_TERN_SOL_091_Ru_Ti75_Mo25,3.083886002,3.10818653,-0.009479895965295441,-0.7628383109999981,-0.007848916,0.5,0.0,0.375,0.0,0.0,0.125,0.75,0.0,0.25,0.0
B2_TERN_SOL_093_Ru_Ti75_Ta25,3.098798357,3.10818653,-0.007389722221938308,-0.9581277760919968,-0.003025035,0.5,0.0,0.375,0.0,0.0,0.0,0.75,0.0,0.25,0.0
B2_TERN_SOL_095_Ru_Ti75_W25,3.082186007,3.10818653,-0.007195324039041665,-0.7896133579999975,-0.00840031,0.5,0.0,0.375,0.0,0.0,0.0,0.75,0.0,0.25,0.0
B2_TERN_SOL_097_Ru_Ti75_V25,3.05499642,3.10818653,-0.013829491732938291,-0.9053066410000018,-0.017260597,0.5,0.0,0.375,0.0,0.0,0.0,0.75,0.0,0.25,0.0
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.10818653,-0.00649240607999999,-0.8881906299999975,-0.002735626,0.375,0.0,0.5,0.125,0.0,0.0,0.75,0.0,0.25,0.0
B2_PENALTY_131_Ru75Cr25_Ti,3.061448806,3.10818653,-0.012496693314999967,-0.8096196399999966,-0.015150887,0.375,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.25,0.0
B2_PENALTY_135_Ru75Cu25_Ti,3.074675013,3.10818653,-0.011263044319999981,-0.8017171889999983,-0.010840132,0.375,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.25,0.0
B2_PENALTY_139_Ru75Si25_Ti,3.0820502,3.10818653,-0.009294459430000008,-0.9361164499999955,-0.008444372,0.375,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.25,0.0
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.10818653,0.014647202585000033,-0.9328003089999964,0.016802767,0.375,0.25,0.0,0.375,0.0,0.0,0.75,0.0,0.25,0.0
B2_MULTI_168_A_Ru75_Al25_B_TiAl,3.070901903,3.10818653,-0.010505844894999974,-0.9413853389999953,-0.012068002,0.375,0.0,0.25,0.375,0.0,0.0,0.75,0.0,0.25,0.0
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.10818653,0.019372320900000038,-0.8854183384772708,0.022877046,0.375,0.0,0.0,0.375,0.25,0.0,0.75,0.0,0.25,0.0
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.19107183,-0.0008841168349999994,-0.9000343030000024,-0.00145028,0.375,0.25,0.25,0.125,0.0,0.0,0.75,0.0,0.0,0.25
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.19107183,-0.00835493863750001,-0.9328003089999964,-0.009514177,0.375,0.25,0.0,0.375,0.0,0.0,0.75,0.0,0.0,0.25
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.19107183,0.005247775439999986,-0.808063227,0.004780006,0.375,0.0,0.25,0.125,0.25,0.0,0.75,0.0,0.0,0.25
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.19107183,-0.003098268855000002,-0.8854183384772708,-0.003439364,0.375,0.0,0.0,0.375,0.25,0.0,0.75,0.0,0.0,0.25
B2_015_RuTi,2.43976227,3.31173466,0.019929679165178613,-1.0529304426513533,-0.303215806,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.25
B2_PENALTY_125_Ru100Al0_Ti,4.881705796,3.31173466,0.019929679165178613,-1.0529304426513533,0.383226349,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.25
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.31173466,-0.008682577169166643,-0.8758682595082984,-0.008465155,0.375,0.25,0.0,0.125,0.25,0.0,0.0,0.75,0.0,0.25
B2_TERN_SOL_089_Ru_Ti75_Nb25,3.102904429,3.07696301,0.008642077435313502,-0.9031889439999955,0.008395461,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.75,0.25
B2_TERN_SOL_091_Ru_Ti75_Mo25,3.083886002,3.07696301,0.002268404341886296,-0.7628383109999981,0.002247415,0.5,0.0,0.375,0.0,0.0,0.125,0.0,0.0,0.75,0.25
B2_TERN_SOL_093_Ru_Ti75_Ta25,3.098798357,3.07696301,0.0067841032027221556,-0.9581277760919968,0.007071305,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.75,0.25
B2_TERN_SOL_095_Ru_Ti75_W25,3.082186007,3.07696301,0.004042877160647659,-0.7896133579999975,0.001696013,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.75,0.25
B2_TERN_SOL_097_Ru_Ti75_V25,3.05499642,3.07696301,-0.0014140404560998173,-0.9053066410000018,-0.007164623,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.75,0.25
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.07696301,0.0056543404300000025,-0.8881906299999975,0.007360712,0.375,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.75,0.25
B2_PENALTY_131_Ru75Cr25_Ti,3.061448806,3.07696301,-0.0036641956099999905,-0.8096196399999966,-0.005054794,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25
B2_PENALTY_135_Ru75Cu25_Ti,3.074675013,3.07696301,-0.0012929680600000002,-0.8017171889999983,-0.000743866,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25
B2_PENALTY_139_Ru75Si25_Ti,3.0820502,3.07696301,-0.00023281321000000036,-0.9361164499999955,0.00165195,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25
B2_MULTI_168_A_Ru75_Al25_B_TiAl,3.070901903,3.07696301,-0.001157598940000002,-0.9413853389999953,-0.001971776,0.375,0.0,0.25,0.375,0.0,0.0,0.0,0.0,0.75,0.25
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.23145248,-0.013022785835,-0.9000343030000024,-0.014024913,0.375,0.25,0.25,0.125,0.0,0.0,0.5,0.0,0.0,0.5
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.23145248,0.016038891054999987,-0.8758682595082984,0.016074846,0.375,0.25,0.0,0.125,0.25,0.0,0.5,0.0,0.0,0.5
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.23145248,-0.007588410199999987,-0.808063227,-0.007794809,0.375,0.0,0.25,0.125,0.25,0.0,0.5,0.0,0.0,0.5
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.23145248,-0.017929853845000013,-0.8854183384772708,-0.016013888,0.375,0.0,0.0,0.375,0.25,0.0,0.5,0.0,0.0,0.5
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.31693148,-0.009043420444999976,-0.8758682595082984,-0.010033106,0.375,0.25,0.0,0.125,0.25,0.0,0.0,0.5,0.0,0.5
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.16642062,-0.01700432199000002,-0.8881906299999975,-0.021297183,0.375,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.5,0.5
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.16642062,0.00932952967250001,-0.9000343030000024,0.006304748,0.375,0.25,0.25,0.125,0.0,0.0,0.0,0.0,0.5,0.5
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.16642062,0.00081328416,-0.9328003089999964,-0.001759199,0.375,0.25,0.0,0.375,0.0,0.0,0.0,0.0,0.5,0.5
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.16642062,0.014411306394999952,-0.808063227,0.0125349,0.375,0.0,0.25,0.125,0.25,0.0,0.0,0.0,0.5,0.5
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.16642062,0.005558209864999993,-0.8854183384772708,0.004315675,0.375,0.0,0.0,0.375,0.25,0.0,0.0,0.0,0.5,0.5
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.27521311,0.0035204221974999912,-0.8758682595082984,0.002623972,0.375,0.25,0.0,0.125,0.25,0.0,0.25,0.0,0.0,0.75
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.27521311,-0.01963960641000002,-0.808063227,-0.021245268,0.375,0.0,0.25,0.125,0.25,0.0,0.25,0.0,0.0,0.75
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.31909493,-0.007747055464999988,-0.8758682595082984,-0.01068512,0.375,0.25,0.0,0.125,0.25,0.0,0.0,0.25,0.0,0.75
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.24817106,-0.01990289832999995,-0.9000343030000024,-0.019184921,0.375,0.25,0.25,0.125,0.0,0.0,0.0,0.0,0.25,0.75
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.24817106,0.00948812296999998,-0.8758682595082984,0.010914717,0.375,0.25,0.0,0.125,0.25,0.0,0.0,0.0,0.25,0.75
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.24817106,-0.013198466096249981,-0.808063227,-0.012955034,0.375,0.0,0.25,0.125,0.25,0.0,0.0,0.0,0.25,0.75
B2_TERN_SOL_089_Ru_Ti75_Nb25,3.102904429,3.07386981,0.008908351052521293,-0.9031889439999955,0.009401224,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.25,0.75,0.0
B2_TERN_SOL_091_Ru_Ti75_Mo25,3.083886002,3.07386981,0.0031383077927845606,-0.7628383109999981,0.003253196,0.5,0.0,0.375,0.0,0.0,0.125,0.0,0.25,0.75,0.0
