B2_Name,a_B2,a_BCC,Pred_Misfit,Pred_Energy,Misfit,B2_Ru,B2_Hf,B2_Ti,B2_Al,B2_Zr,B2_Mo,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb
B2_MULTI_168_A_Ru75_Al25_B_TiAl,3.070901903,3.02092873,0.01620939487500004,-0.9413853389999953,0.016406619,0.375,0.0,0.25,0.375,0.0,0.0,0.25,0.0,0.75,0.0
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,3.22178751,0.011781918871428567,-0.9557422499999952,0.013253075,0.375,0.5,0.0,0.125,0.0,0.0,0.5,0.5,0.0,0.0
B2_PENALTY_114_Ru75Cr25_Hf,3.225424668,3.22178751,0.0023623477169999988,-0.878162691,0.001128289,0.375,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
B2_PENALTY_118_Ru75Cu25_Hf,3.236261822,3.22178751,0.004712349241428569,-0.9233898889999995,0.004482565,0.375,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.22178751,0.0069698071795000075,-1.0097945739701244,0.008230014,0.375,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
B2_PENALTY_144_Ru75Al25_Zr,3.302387941,3.22178751,0.019268537255000023,-0.7979355870000012,0.024708235,0.375,0.0,0.0,0.125,0.5,0.0,0.5,0.5,0.0,0.0
B2_PENALTY_148_Ru75Cr25_Zr,3.262005664,3.22178751,0.011020958296428584,-0.6758889759999992,0.012405749,0.375,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0
B2_PENALTY_152_Ru75Cu25_Zr,3.273069781,3.22178751,0.014752785925000018,-0.7449165740000009,0.015791654,0.375,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0
B2_PENALTY_156_Ru75Si25_Zr,3.285422312,3.22178751,0.01271391752892858,-0.8575769708067681,0.019558245,0.375,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.22178751,-0.010081713214999979,-0.9000343030000024,-0.011029644,0.375,0.25,0.25,0.125,0.0,0.0,0.5,0.5,0.0,0.0
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.22178751,0.017171492934999984,-0.8758682595082984,0.019070002,0.375,0.25,0.0,0.125,0.25,0.0,0.5,0.5,0.0,0.0
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.22178751,-0.019290408374999995,-0.9328003089999964,-0.019093144,0.375,0.25,0.0,0.375,0.0,0.0,0.5,0.5,0.0,0.0
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.22178751,-0.005255661194999992,-0.808063227,-0.004799452,0.375,0.0,0.25,0.125,0.25,0.0,0.5,0.5,0.0,0.0
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.22178751,-0.016472651255000012,-0.8854183384772708,-0.013018659,0.375,0.0,0.0,0.375,0.25,0.0,0.5,0.5,0.0,0.0
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.06403346,0.008716204385000002,-0.8881906299999975,0.011571518,0.375,0.0,0.5,0.125,0.0,0.0,0.5,0.0,0.5,0.0
B2_PENALTY_131_Ru75Cr25_Ti,3.061448806,3.06403346,0.0016470052899999988,-0.8096196399999966,-0.000843902,0.375,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0
B2_PENALTY_135_Ru75Cu25_Ti,3.074675013,3.06403346,0.0019838910900000016,-0.8017171889999983,0.003467033,0.375,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0
B2_PENALTY_139_Ru75Si25_Ti,3.0820502,3.06403346,0.0036538855850000024,-0.9361164499999955,0.005862836,0.375,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0
B2_MULTI_168_A_Ru75_Al25_B_TiAl,3.070901903,3.06403346,0.003372019500000004,-0.9413853389999953,0.002239125,0.375,0.0,0.25,0.375,0.0,0.0,0.5,0.0,0.5,0.0
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,3.18583421,0.01925901354875005,-0.9557422499999952,0.024474207,0.375,0.5,0.0,0.125,0.0,0.0,0.75,0.25,0.0,0.0
B2_PENALTY_114_Ru75Cr25_Hf,3.225424668,3.18583421,0.012539148547500007,-0.878162691,0.012350291,0.375,0.5,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
B2_PENALTY_118_Ru75Cu25_Hf,3.236261822,3.18583421,0.016127528561250024,-0.9233898889999995,0.015704409,0.375,0.5,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.18583421,0.015617941645,-1.0097945739701244,0.019451607,0.375,0.5,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.18583421,-0.00028514770500000073,-0.9000343030000024,0.000192404,0.375,0.25,0.25,0.125,0.0,0.0,0.75,0.25,0.0,0.0
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.18583421,-0.007727311442500011,-0.9328003089999964,-0.007871524,0.375,0.25,0.0,0.375,0.0,0.0,0.75,0.25,0.0,0.0
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.18583421,0.0061111006949999954,-0.808063227,0.006422677,0.375,0.0,0.25,0.125,0.25,0.0,0.75,0.25,0.0,0.0
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.18583421,-0.0023141829249999977,-0.8854183384772708,-0.001796682,0.375,0.0,0.0,0.375,0.25,0.0,0.75,0.25,0.0,0.0
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.10818653,-0.00649240607999999,-0.8881906299999975,-0.002735626,0.375,0.0,0.5,0.125,0.0,0.0,0.75,0.0,0.25,0.0
B2_PENALTY_131_Ru75Cr25_Ti,3.061448806,3.10818653,-0.012496693314999967,-0.8096196399999966,-0.015150887,0.375,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.25,0.0
B2_PENALTY_135_Ru75Cu25_Ti,3.074675013,3.10818653,-0.011263044319999981,-0.8017171889999983,-0.010840132,0.375,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.25,0.0
B2_PENALTY_139_Ru75Si25_Ti,3.0820502,3.10818653,-0.009294459430000008,-0.9361164499999955,-0.008444372,0.375,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.25,0.0
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.10818653,0.014647202585000033,-0.9328003089999964,0.016802767,0.375,0.25,0.0,0.375,0.0,0.0,0.75,0.0,0.25,0.0
B2_MULTI_168_A_Ru75_Al25_B_TiAl,3.070901903,3.10818653,-0.010505844894999974,-0.9413853389999953,-0.012068002,0.375,0.0,0.25,0.375,0.0,0.0,0.75,0.0,0.25,0.0
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.10818653,0.019372320900000038,-0.8854183384772708,0.022877046,0.375,0.0,0.0,0.375,0.25,0.0,0.75,0.0,0.25,0.0
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,3.19107183,0.01934941206125005,-0.9557422499999952,0.022831753,0.375,0.5,0.0,0.125,0.0,0.0,0.75,0.0,0.0,0.25
B2_PENALTY_114_Ru75Cr25_Hf,3.225424668,3.19107183,0.011981640559999998,-0.878162691,0.010707662,0.375,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25
B2_PENALTY_118_Ru75Cu25_Hf,3.236261822,3.19107183,0.016351838521250023,-0.9233898889999995,0.014061816,0.375,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.19107183,0.01565886877499999,-1.0097945739701244,0.017809066,0.375,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.19107183,-0.0008841168349999994,-0.9000343030000024,-0.00145028,0.375,0.25,0.25,0.125,0.0,0.0,0.75,0.0,0.0,0.25
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.19107183,-0.00835493863750001,-0.9328003089999964,-0.009514177,0.375,0.25,0.0,0.375,0.0,0.0,0.75,0.0,0.0,0.25
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.19107183,0.005247775439999986,-0.808063227,0.004780006,0.375,0.0,0.25,0.125,0.25,0.0,0.75,0.0,0.0,0.25
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.19107183,-0.003098268855000002,-0.8854183384772708,-0.003439364,0.375,0.0,0.0,0.375,0.25,0.0,0.75,0.0,0.0,0.25
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,3.31173466,-0.015006710505972243,-0.9557422499999952,-0.014282274,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.75,0.0,0.25
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.31173466,-0.019152101474107085,-1.0097945739701244,-0.019305125,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25
B2_PENALTY_125_Ru100Al0_Ti,4.881705796,3.31173466,0.019929679165178613,-1.0529304426513533,0.383226349,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.25
B2_PENALTY_144_Ru75Al25_Zr,3.302387941,3.31173466,-0.0038242210099999935,-0.7979355870000012,-0.002826291,0.375,0.0,0.0,0.125,0.5,0.0,0.0,0.75,0.0,0.25
B2_PENALTY_148_Ru75Cr25_Zr,3.262005664,3.31173466,-0.014324025650615075,-0.6758889759999992,-0.015129589,0.375,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.25
B2_PENALTY_152_Ru75Cu25_Zr,3.273069781,3.31173466,-0.009967361991785733,-0.7449165740000009,-0.011743668,0.375,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.25
B2_PENALTY_156_Ru75Si25_Zr,3.285422312,3.31173466,-0.00909041884053571,-0.8575769708067681,-0.007976875,0.375,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.25
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.31173466,-0.008682577169166643,-0.8758682595082984,-0.008465155,0.375,0.25,0.0,0.125,0.25,0.0,0.0,0.75,0.0,0.25
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.07696301,0.0056543404300000025,-0.8881906299999975,0.007360712,0.375,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.75,0.25
B2_PENALTY_131_Ru75Cr25_Ti,3.061448806,3.07696301,-0.0036641956099999905,-0.8096196399999966,-0.005054794,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25
B2_PENALTY_135_Ru75Cu25_Ti,3.074675013,3.07696301,-0.0012929680600000002,-0.8017171889999983,-0.000743866,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25
B2_PENALTY_139_Ru75Si25_Ti,3.0820502,3.07696301,-0.00023281321000000036,-0.9361164499999955,0.00165195,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25
B2_MULTI_168_A_Ru75_Al25_B_TiAl,3.070901903,3.07696301,-0.001157598940000002,-0.9413853389999953,-0.001971776,0.375,0.0,0.25,0.375,0.0,0.0,0.0,0.0,0.75,0.25
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,3.23145248,0.008765791413333323,-0.9557422499999952,0.010257792,0.375,0.5,0.0,0.125,0.0,0.0,0.5,0.0,0.0,0.5
B2_PENALTY_114_Ru75Cr25_Hf,3.225424668,3.23145248,0.0017578461849999938,-0.878162691,-0.001867098,0.375,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
