mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score
1.0512165546417236,0.13343254991509812,0.12441450754801432,0.025517233670564413,200,4,8,0.5,8,True,"{'n_estimators': 200, 'min_samples_split': 4, 'min_samples_leaf': 8, 'max_features': 0.5, 'max_depth': 8, 'bootstrap': True}",-0.029556994864942836,-0.029375892168678693,-0.025957211020124667,-0.02217693610657423,-0.03169844696561217,-0.02622550252841273,-0.031887869956378954,-0.02504785514457906,-0.02160033225587971,-0.03475602963328616,-0.024054745279580052,-0.05017011782856796,-0.02153320803676158,-0.029419397426366924,-0.027010411893594002,-0.028698063407289313,0.006900431110278354,46,-0.024890453178106543,-0.025919892974989003,-0.026879294277029682,-0.023000715031898936,-0.02576124342406931,-0.023508272657903236,-0.025236521086741136,-0.02400734305978661,-0.02353158976714407,-0.02638985064073971,-0.023489004442967903,-0.025058607014533635,-0.02295964342313839,-0.024193643735089396,-0.02603106658155202,-0.02472380941971264,0.0012473904467058562
0.001175832748413086,0.00026425637011964493,0.0,0.0,600,8,1,auto,,False,"{'n_estimators': 600, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': None, 'bootstrap': False}",,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,
2.181441879272461,0.14569576881626484,0.1970094839731852,0.029796669074481485,400,4,4,0.5,16,False,"{'n_estimators': 400, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 16, 'bootstrap': False}",-0.00017289530899598692,-0.0002348473334520436,-0.00016837359943253937,-0.00014118895106415396,-0.0002168534925079045,-0.00021225501476899506,-0.00021083315736899797,-0.00016026381470968197,-0.000163997071422814,-0.00020620082385074787,-0.00016955342133522422,-0.0002457371772740752,-0.00015468446984668363,-0.00022923516024327454,-0.0001535909287234773,-0.00018936731499977335,3.292237887228728e-05,1,-0.00016184522096735114,-0.00013788423860153698,-0.0001463705151381248,-0.0001331719666813066,-0.00014679709359190045,-0.00014450108631953345,-0.00014115630667521772,-0.00014610002273168679,-0.00015293303982006547,-0.0001742580164585525,-0.0001757036743079355,-0.00015720642633036268,-0.00014232876230317433,-0.0001660663734165624,-0.00015048808534620653,-0.00015178738857930116,1.237290813173779e-05
1.0180892467498779,0.0663033619093323,0.1069363276163737,0.029685808819212928,200,8,4,0.3,,False,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 0.3, 'max_depth': None, 'bootstrap': False}",-0.0008462450945952372,-0.0008216851067072367,-0.0007723928954582954,-0.0005994691166608244,-0.0007567377221097668,-0.0008460453967692581,-0.0009561999651312086,-0.0006639414495809336,-0.0007300991765178305,-0.000690285827568658,-0.0006825586451413539,-0.0024954228351099536,-0.00063531255836415,-0.0008781519774564779,-0.0007028565532910123,-0.0008718269546974798,0.0004442927001317797,15,-0.00044950353421036645,-0.00040715094888488446,-0.00041193570373731196,-0.0004609222519140064,-0.0004401552662544013,-0.00044903153380037577,-0.000525454187724689,-0.0003826189296753498,-0.0004392679938655561,-0.0004382067122821811,-0.00042443216599130515,-0.0006122783215560299,-0.00039195657658427593,-0.000437067324606024,-0.0004264964501169108,-0.00044643186008024456,5.469663894454658e-05
5.636254485448202,1.021149306430825,0.5504784266153971,0.5463455304402967,1000,8,1,0.3,20,True,"{'n_estimators': 1000, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': 20, 'bootstrap': True}",-0.0012214921589458624,-0.0011483874672265056,-0.001133492887798426,-0.0011144014222560586,-0.0012231074690353802,-0.0009720104529642788,-0.0011569196380348582,-0.0009377215366762824,-0.0011420877551920892,-0.0011273891096113214,-0.00121039560558594,-0.0034495801489167885,-0.0009097469350029727,-0.0016422828521348537,-0.0010326429435831487,-0.0012947772255309845,0.0005989161751144903,18,-0.000824380618934223,-0.0007117350739934977,-0.0007819370438141175,-0.0007456547765567412,-0.0007644799452882092,-0.0006568714358741171,-0.0007266776364177853,-0.0006652866049343912,-0.0007897297293258529,-0.0007380685080647317,-0.000875607081219516,-0.0011083641561918504,-0.0006946949711174373,-0.0008564869419668137,-0.0007640247799011372,-0.000780266620240028,0.00010690027475635966
0.002042277654012044,0.002179556715826725,0.0,0.0,100,8,8,auto,28,True,"{'n_estimators': 100, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 'auto', 'max_depth': 28, 'bootstrap': True}",,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,
2.957568327585856,0.24011715799099523,0.2284149964650472,0.041925597363930686,600,2,8,0.3,20,True,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 0.3, 'max_depth': 20, 'bootstrap': True}",-0.03170175652136435,-0.03025525679526816,-0.01773619962735642,-0.024403670082284976,-0.033950696580458094,-0.025040049242159218,-0.03807388588910061,-0.017931288494864948,-0.02120185381358376,-0.03611484169388293,-0.022227187553615677,-0.059904485841636254,-0.018264255541923277,-0.019037453030699758,-0.026994916306354377,-0.028189186467636858,0.010717508773035527,44,-0.02380534339942927,-0.02584723567866872,-0.022854537127134224,-0.022069884256602685,-0.026159697529673148,-0.02231439653282151,-0.027317269552867413,-0.02177523964468755,-0.02018738628862933,-0.025675307294110165,-0.021638389201986994,-0.024849817880032182,-0.020956748403427844,-0.020090881412538154,-0.02569566710084761,-0.02341585342023046,0.00227872086888209
1.5003715356190999,0.1160333456736969,0.2294369061787923,0.03052463919873436,400,2,4,sqrt,16,False,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 16, 'bootstrap': False}",-0.0029851582498140817,-0.002701462239189712,-0.0024470543079013096,-0.0028560131764823297,-0.0031032018583818624,-0.0026537677394570776,-0.003714224826386168,-0.0024686347853947782,-0.0025490063258693345,-0.0037487937535452343,-0.003039988588326671,-0.005420213207490028,-0.003068483377229674,-0.0031203464408207267,-0.0030019021998355156,-0.0031252167384083,0.0007186063610212543,25,-0.0017570425645256173,-0.0018788136673111243,-0.001792434567783829,-0.0019427448040884208,-0.0019071151025185542,-0.0017419006406054016,-0.0021434962348831892,-0.0019229682923329367,-0.0018360329855256513,-0.002071554785149198,-0.0019757056197196397,-0.00208934563854437,-0.0019364796310093388,-0.0020236258707516,-0.001964039509557999,-0.0019322199942871246,0.00011529565275408528
0.6259710947672527,0.08293123001197816,0.09037448565165201,0.030876605845039744,100,2,8,0.5,16,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 0.5, 'max_depth': 16, 'bootstrap': True}",-0.021109046937713812,-0.023192866949268337,-0.016425860574947382,-0.014678423449392056,-0.02259142530748426,-0.01655107591649116,-0.025424776750012795,-0.0179450594227095,-0.013802653186662007,-0.02467932109053221,-0.017209131505928784,-0.04082533930705358,-0.011929224346532886,-0.01966059432918436,-0.020102339445573478,-0.02040847590129911,0.006679953784722357,39,-0.015876251348783246,-0.018554974762564715,-0.017153980409658903,-0.01483341281874392,-0.016886926766118672,-0.014458450471542574,-0.01780468167388756,-0.016333174328358267,-0.014570099694557168,-0.016990779992222694,-0.017280802480202296,-0.01623582737961737,-0.013666517422027711,-0.013453460503517006,-0.018720388313782282,-0.016187981891038962,0.0016184249503071832
0.4444847265879313,0.038393041141000284,0.090768829981486,0.02800740274873054,100,2,1,0.3,8,False,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': 8, 'bootstrap': False}",-0.01522103054330882,-0.017363627980201655,-0.015949447589250123,-0.01721618072133032,-0.016520087638387027,-0.017575893926139237,-0.015179059073071533,-0.01646896362943321,-0.017546920025324975,-0.01706768821280687,-0.017385005519371634,-0.01632920300972891,-0.017279627194562348,-0.01736024602773202,-0.015020802515185616,-0.016632252240388955,0.0008796083740414839,33,-0.015063361149701845,-0.01591112872870327,-0.01619305414190115,-0.016226504172356528,-0.016046675127656774,-0.015146151958483834,-0.01564794129903579,-0.016591821617935914,-0.016832919100277743,-0.016187692335078774,-0.016391696033697455,-0.015716404612230988,-0.01572986635773009,-0.016966883559545756,-0.01558274259462614,-0.0160156561859308,0.0005366746656888258
