alloy_name,run_folder,natoms,missing_refs,volume_A3,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg,lattice_parameter,n_formula_units,multiplicity,total_energy_eV,energy_per_atom_eV,formation_energy_per_atom_eV,formation_energy_per_atom_meV,VEC,VEC_missing_for,X_Ru,X_Hf,X_Ti,X_Zr,X_Al,X_Mo,X_Nb,X_Ta,X_W,X_V,X_Cr,X_Cu,X_Si
MATRIX_BIN_032_Nb87_W12,./03_Matrix_Binaries/MATRIX_BIN_032_Nb87_W12,8,,143.8837826,5.71756678,5.71756678,5.71756678,109.4712206,109.4712206,109.4712206,2.620036168,8,1,-83.5468681,-10.44335851,0.042204846,42.20484625,5.125,,0,0,0,0,0,0,0.875,0,0.125,0,0,0,0
MATRIX_BIN_033_Nb12_V87,./03_Matrix_Binaries/MATRIX_BIN_033_Nb12_V87,8,,111.5137924,5.251904563,5.251904563,5.251904563,109.4712206,109.4712206,109.4712206,2.406649618,8,1,-72.31808323,-9.039760404,0.08248568,82.48568,5,,0,0,0,0,0,0,0.125,0,0,0.875,0,0,0
MATRIX_BIN_034_Nb25_V75,./03_Matrix_Binaries/MATRIX_BIN_034_Nb25_V75,8,,116.9628193,5.276701334,5.522771091,5.276701334,110.4186887,108.50736,110.4186887,3.080793662,4,2,-73.17127635,-9.146409544,0.119704924,119.7049237,5,,0,0,0,0,0,0,0.25,0,0,0.75,0,0,0
MATRIX_BIN_035_Nb50_V50,./03_Matrix_Binaries/MATRIX_BIN_035_Nb50_V50,8,,127.7781052,5.495743358,5.495743358,5.495743358,109.5714289,109.4211398,109.4211398,3.997687259,2,4,-75.2607292,-9.40759115,0.146260085,146.260085,5,,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0
MATRIX_BIN_036_Nb75_V25,./03_Matrix_Binaries/MATRIX_BIN_036_Nb75_V25,8,,137.6330239,5.564707236,5.564707236,5.564707236,108.4058428,108.4058428,108.4058428,3.252526823,4,2,-77.81420537,-9.726775671,0.114812331,114.8123313,5,,0,0,0,0,0,0,0.75,0,0,0.25,0,0,0
MATRIX_BIN_037_Nb87_V12,./03_Matrix_Binaries/MATRIX_BIN_037_Nb87_V12,8,,142.267756,5.696080575,5.696080575,5.696080575,109.4712206,109.4712206,109.4712206,2.61019026,8,1,-79.19506047,-9.899382559,0.086073827,86.0738275,5,,0,0,0,0,0,0,0.875,0,0,0.125,0,0,0
MATRIX_BIN_038_Mo12_Ta87,./03_Matrix_Binaries/MATRIX_BIN_038_Mo12_Ta87,8,,142.1452068,5.694444574,5.694444574,5.694444574,109.4712206,109.4712206,109.4712206,2.609440574,8,1,-94.25223833,-11.78152979,-0.021898875,-21.898875,5.125,,0,0,0,0,0,0.125,0,0.875,0,0,0,0,0
MATRIX_BIN_039_Mo25_Ta75,./03_Matrix_Binaries/MATRIX_BIN_039_Mo25_Ta75,8,,139.2234945,5.632205495,5.725164888,5.632205495,109.8059113,109.1344663,109.8059113,3.265007474,4,2,-93.46605854,-11.68325732,-0.045341345,-45.341345,5.25,,0,0,0,0,0,0.25,0,0.75,0,0,0,0,0
MATRIX_BIN_040_Mo50_Ta50,./03_Matrix_Binaries/MATRIX_BIN_040_Mo50_Ta50,8,,133.512004,5.576744509,5.576744509,5.576744509,109.4912384,109.4612127,109.4612127,4.056611707,2,4,-92.07597536,-11.50949692,-0.115010835,-115.010835,5.5,,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0
MATRIX_BIN_041_Mo75_Ta25,./03_Matrix_Binaries/MATRIX_BIN_041_Mo75_Ta25,8,,129.0711909,5.500478496,5.500478496,5.500478496,109.2664257,109.2664257,109.2664257,3.183633813,4,2,-90.28410054,-11.28551257,-0.13445637,-134.45637,5.75,,0,0,0,0,0,0.75,0,0.25,0,0,0,0,0
MATRIX_BIN_042_Mo87_Ta12,./03_Matrix_Binaries/MATRIX_BIN_042_Mo87_Ta12,8,,127.1841473,5.487210545,5.487210545,5.487210545,109.4712206,109.4712206,109.4712206,2.514476987,8,1,-89.08555547,-11.13569443,-0.10635318,-106.35318,5.875,,0,0,0,0,0,0.875,0,0.125,0,0,0,0,0
MATRIX_BIN_043_Mo12_W87,./03_Matrix_Binaries/MATRIX_BIN_043_Mo12_W87,8,,127.3321396,5.489338039,5.489338039,5.489338039,109.4712206,109.4712206,109.4712206,2.515451896,8,1,-102.0205189,-12.75256486,-0.03228228,-32.28228,6,,0,0,0,0,0,0.125,0,0,0.875,0,0,0,0
MATRIX_BIN_044_Mo25_W75,./03_Matrix_Binaries/MATRIX_BIN_044_Mo25_W75,8,,127.0516877,5.485141723,5.485794674,5.485141723,109.4736321,109.4688091,109.4736321,3.166942287,4,2,-99.93882755,-12.49235344,-0.031021756,-31.02175625,6,,0,0,0,0,0,0.25,0,0,0.75,0,0,0,0
MATRIX_BIN_045_Mo50_W50,./03_Matrix_Binaries/MATRIX_BIN_045_Mo50_W50,8,,126.4893461,5.477200167,5.477200167,5.477200167,109.4725189,109.4705715,109.4705715,3.984201707,2,4,-95.79864625,-11.97483078,-0.031400886,-31.40088625,6,,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0
MATRIX_BIN_046_Mo75_W25,./03_Matrix_Binaries/MATRIX_BIN_046_Mo75_W25,8,,125.9272979,5.468927608,5.468927608,5.468927608,109.469028,109.469028,109.469028,3.157572258,4,2,-91.64234625,-11.45529328,-0.029765179,-29.76517875,6,,0,0,0,0,0,0.75,0,0,0.25,0,0,0,0
MATRIX_BIN_047_Mo87_W12,./03_Matrix_Binaries/MATRIX_BIN_047_Mo87_W12,8,,125.599687,5.464328701,5.464328701,5.464328701,109.4712206,109.4712206,109.4712206,2.503991537,8,1,-89.57260663,-11.19657583,-0.029998622,-29.9986225,6,,0,0,0,0,0,0.875,0,0,0.125,0,0,0,0
MATRIX_BIN_048_Mo12_V87,./03_Matrix_Binaries/MATRIX_BIN_048_Mo12_V87,8,,108.2624246,5.200357655,5.200357655,5.200357655,109.4712206,109.4712206,109.4712206,2.383028597,8,1,-73.80697599,-9.225871999,-0.006338223,-6.3382225,5.125,,0,0,0,0,0,0.125,0,0,0,0.875,0,0,0
MATRIX_BIN_049_Mo25_V75,./03_Matrix_Binaries/MATRIX_BIN_049_Mo25_V75,8,,110.5197865,5.183735241,5.400539778,5.183735241,110.3207118,108.6085332,110.3207118,3.023152221,4,2,-75.98491377,-9.498114221,-0.037424369,-37.42436875,5.25,,0,0,0,0,0,0.25,0,0,0,0.75,0,0,0
MATRIX_BIN_050_Mo50_V50,./03_Matrix_Binaries/MATRIX_BIN_050_Mo50_V50,8,,115.1629392,5.30859138,5.30859138,5.30859138,109.6524826,109.3806657,109.3806657,3.861543353,2,4,-80.32361135,-10.04045142,-0.097449414,-97.44941375,5.5,,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0
MATRIX_BIN_051_Mo75_V25,./03_Matrix_Binaries/MATRIX_BIN_051_Mo75_V25,8,,120.0318838,5.371236079,5.371236079,5.371236079,109.3017221,109.3017221,109.3017221,3.107507677,4,2,-84.31457869,-10.53932234,-0.114008179,-114.0081787,5.75,,0,0,0,0,0,0.75,0,0,0,0.25,0,0,0
MATRIX_BIN_052_Mo87_V12,./03_Matrix_Binaries/MATRIX_BIN_052_Mo87_V12,8,,122.6824745,5.421691548,5.421691548,5.421691548,109.4712206,109.4712206,109.4712206,2.484453351,8,1,-86.03864417,-10.75483052,-0.088360288,-88.3602875,5.875,,0,0,0,0,0,0.875,0,0,0,0.125,0,0,0
MATRIX_BIN_053_Ta12_W87,./03_Matrix_Binaries/MATRIX_BIN_053_Ta12_W87,8,,129.3015811,5.517494497,5.517494497,5.517494497,109.4712206,109.4712206,109.4712206,2.528354403,8,1,-103.4803962,-12.93504953,-0.093051999,-93.05199875,5.875,,0,0,0,0,0,0,0,0.125,0.875,0,0,0,0
MATRIX_BIN_054_Ta25_W75,./03_Matrix_Binaries/MATRIX_BIN_054_Ta25_W75,8,,130.801001,5.534579691,5.551258965,5.534579691,109.53228,109.4100923,109.53228,3.197793083,4,2,-102.4970753,-12.81213441,-0.107372831,-107.3728313,5.75,,0,0,0,0,0,0,0,0.25,0.75,0,0,0,0
MATRIX_BIN_055_Ta50_W50,./03_Matrix_Binaries/MATRIX_BIN_055_Ta50_W50,8,,134.673131,5.592864307,5.592864307,5.592864307,109.4724347,109.4706136,109.4706136,4.068337625,2,4,-100.0086982,-12.50108728,-0.070797609,-70.79760875,5.5,,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
