BCC_Name,B2_Name,Misfit,a_BCC,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,BCC_Name,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,B2_Name,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si
Mo25-Ta75,MATRIX_BIN_030_Nb50_W50,0.2214005847401943,3.26436851,4.077067638,-0.024208031,5.5,0.0245614035087719,1.98,0.3799999999999999,-2.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_030_Nb50_W50,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_031_Nb75_W25,0.004212377417366559,3.26436851,3.278148285,0.026336168,5.25,0.0210127480987559,1.79,0.3290896534380866,-1.5,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_031_Nb75_W25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_032_Nb87_W12,-0.21899661130002257,3.26436851,2.620036168,0.042204846,5.125,0.0156705067050018,1.6912,0.2469707675009331,-0.8448,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_032_Nb87_W12,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.125,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_033_Nb12_V87,-0.3024920296992569,3.26436851,2.406649618,0.08248568,5.0,0.0287916304948704,1.6263999999999998,0.009748846085563,-0.4224,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_033_Nb12_V87,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.875,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_034_Nb25_V75,-0.05786293337310784,3.26436851,3.080793662,0.119704924,5.0,0.0379281198737709,1.6225,0.0129903810567664,-0.75,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_034_Nb25_V75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_035_Nb50_V50,0.20195899682576507,3.26436851,3.997687259,0.146260085,5.0,0.0428571428571428,1.615,0.0149999999999999,-1.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_035_Nb50_V50,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_036_Nb75_V25,-0.0036341498197881177,3.26436851,3.252526823,0.114812331,5.0,0.0363367302287176,1.6075000000000002,0.0129903810567664,-0.75,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_036_Nb75_V25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_037_Nb87_V12,-0.22271570533628354,3.26436851,2.61019026,0.086073827,5.0,0.0269752243651442,1.6036,0.009748846085563,-0.4224,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_037_Nb87_V12,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.125,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_038_Mo12_Ta87,-0.2229993949868051,3.26436851,2.609440574,-0.021898875,5.125,0.0156705067050018,1.5792000000000002,0.2144746138823893,-0.8448,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_038_Mo12_Ta87,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.875,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_039_Mo25_Ta75,0.00019571977523288607,3.26436851,3.265007474,-0.045341345,5.25,0.0210127480987559,1.665,0.2857883832488648,-1.5,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_039_Mo25_Ta75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_040_Mo50_Ta50,0.21643090775203494,3.26436851,4.056611707,-0.115010835,5.5,0.0245614035087719,1.83,0.33,-2.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_040_Mo50_Ta50,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_041_Mo75_Ta25,-0.025041770444784006,3.26436851,3.183633813,-0.13445637,5.75,0.0215352675896663,1.995,0.2857883832488648,-1.5,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_041_Mo75_Ta25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_042_Mo87_Ta12,-0.2595298743976785,3.26436851,2.514476987,-0.10635318,5.875,0.0162666672861703,2.0808,0.2144746138823893,-0.8448,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_042_Mo87_Ta12,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_043_Mo12_W87,-0.2591487490588994,3.26436851,2.515451896,-0.03228228,6.0,0.0,2.336,0.0649923072370876,-0.4224,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_043_Mo12_W87,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.875,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_044_Mo25_W75,-0.03029747001045151,3.26436851,3.166942287,-0.031021756,6.0,0.0,2.31,0.0866025403784437,-0.75,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_044_Mo25_W75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_045_Mo50_W50,0.19861384395829734,3.26436851,3.984201707,-0.031400886,6.0,0.0,2.26,0.0999999999999998,-1.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_045_Mo50_W50,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_046_Mo75_W25,-0.03325980598642609,3.26436851,3.157572258,-0.029765179,6.0,0.0,2.21,0.0866025403784437,-0.75,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_046_Mo75_W25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_047_Mo87_W12,-0.2636371401245856,3.26436851,2.503991537,-0.029998622,6.0,0.0,2.184,0.0649923072370876,-0.4224,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_047_Mo87_W12,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.125,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_048_Mo12_V87,-0.31212252168616633,3.26436851,2.383028597,-0.006338223,5.125,0.0120713795016878,1.6936,0.1722296141782824,-0.4224,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_048_Mo12_V87,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.875,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_049_Mo25_V75,-0.07672858645561419,3.26436851,3.023152221,-0.037424369,5.25,0.0160078632862187,1.7625,0.2294967320028763,-0.75,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_049_Mo25_V75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_050_Mo50_V50,0.16760657568632625,3.26436851,3.861543353,-0.097449414,5.5,0.0183150183150182,1.895,0.2650000000000001,-1.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_050_Mo50_V50,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_051_Mo75_V25,-0.049235367542147156,3.26436851,3.107507677,-0.114008179,5.75,0.0157173394516231,2.0275,0.2294967320028763,-0.75,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_051_Mo75_V25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_052_Mo87_V12,-0.27133043181975897,3.26436851,2.484453351,-0.088360288,5.875,0.0117399398910924,2.0964,0.1722296141782824,-0.4224,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_052_Mo87_V12,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.125,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_053_Ta12_W87,-0.2541168007011836,3.26436851,2.528354403,-0.093051999,5.875,0.0162666672861703,2.2568,0.279466921119477,-0.4224,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_053_Ta12_W87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_054_Ta25_W75,-0.02060469273071614,3.26436851,3.197793083,-0.107372831,5.75,0.0215352675896663,2.145,0.3723909236273086,-0.75,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_054_Ta25_W75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_055_Ta50_W50,0.2192830587230398,3.26436851,4.068337625,-0.070797609,5.5,0.0245614035087719,1.93,0.4299999999999999,-1.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_055_Ta50_W50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_056_Ta75_W25,0.0012929293230113123,3.26436851,3.268591838,-0.021707099,5.25,0.0210127480987559,1.715,0.3723909236273086,-0.75,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_056_Ta75_W25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_057_Ta87_W12,-0.22250544090838756,3.26436851,2.610746034,-0.005622646,5.125,0.0156705067050018,1.6032,0.279466921119477,-0.4224,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_057_Ta87_W12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_058_Ta12_V87,-0.3027980271704992,3.26436851,2.405896049,0.06873568,5.0,0.0287916304948704,1.6143999999999998,0.0422449997041069,0.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_058_Ta12_V87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.875,0.0,0.0,0.0
