B2_Name,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si
MATRIX_BIN_040_Mo50_Ta50,4.056611707,-0.115010835,5.5,0.0245614035087719,1.83,0.33,-2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
MATRIX_BIN_041_Mo75_Ta25,3.183633813,-0.13445637,5.75,0.0215352675896663,1.995,0.2857883832488648,-1.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0
MATRIX_BIN_042_Mo87_Ta12,2.514476987,-0.10635318,5.875,0.0162666672861703,2.0808,0.2144746138823893,-0.8448,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0.0
MATRIX_BIN_043_Mo12_W87,2.515451896,-0.03228228,6.0,0.0,2.336,0.0649923072370876,-0.4224,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.875,0.0,0.0,0.0,0.0
MATRIX_BIN_044_Mo25_W75,3.166942287,-0.031021756,6.0,0.0,2.31,0.0866025403784437,-0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0
MATRIX_BIN_045_Mo50_W50,3.984201707,-0.031400886,6.0,0.0,2.26,0.0999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
MATRIX_BIN_046_Mo75_W25,3.157572258,-0.029765179,6.0,0.0,2.21,0.0866025403784437,-0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0
MATRIX_BIN_047_Mo87_W12,2.503991537,-0.029998622,6.0,0.0,2.184,0.0649923072370876,-0.4224,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.125,0.0,0.0,0.0,0.0
MATRIX_BIN_048_Mo12_V87,2.383028597,-0.006338223,5.125,0.0120713795016878,1.6936,0.1722296141782824,-0.4224,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.875,0.0,0.0,0.0
MATRIX_BIN_049_Mo25_V75,3.023152221,-0.037424369,5.25,0.0160078632862187,1.7625,0.2294967320028763,-0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0
MATRIX_BIN_050_Mo50_V50,3.861543353,-0.097449414,5.5,0.0183150183150182,1.895,0.2650000000000001,-1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
MATRIX_BIN_051_Mo75_V25,3.107507677,-0.114008179,5.75,0.0157173394516231,2.0275,0.2294967320028763,-0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0
MATRIX_BIN_052_Mo87_V12,2.484453351,-0.088360288,5.875,0.0117399398910924,2.0964,0.1722296141782824,-0.4224,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.125,0.0,0.0,0.0
MATRIX_BIN_053_Ta12_W87,2.528354403,-0.093051999,5.875,0.0162666672861703,2.2568,0.279466921119477,-0.4224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.0
